Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human,Include?
1089,Vegetation response to a short interval between high-severity wildfires in a mixed-evergreen forest,2009,JOURNAL OF ECOLOGY,Biscuit Fire; compound disturbance; conifer regeneration; fire interval; functional traits; mixed-severity fire regime; plant diversity; reburn; Silver Fire; shrub sprouting,"1. Variations in disturbance regime strongly influence ecosystem structure and function. A prominent form of such variation is when multiple high-severity wildfires occur in rapid succession (i.e. short-interval (SI) severe fires, or 're-burns'). These events have been proposed as key mechanisms altering successional rates and pathways. 2. We utilized a natural experiment afforded by two overlapping wildfires occurring within a 15-year interval in forests of the Klamath-Siskiyou Mountains, Oregon (USA). We tested for unique effects of a SI fire (15-year interval before 2002 fire) by comparing vegetation communities 2 years post-fire to those following a long-interval (LI) fire (> 100-year interval before 2002 fire) and in mature/old-growth (M/OG) stands (no high-severity fire in > 100-year). 3. Nearly all species found in M/OG stands were present at similar relative abundance in both the LI and SI burns, indicating high community persistence through multiple high-severity fires. However, the SI burn had the highest species richness and total plant cover with additions of disturbance-associated forbs and low shrubs, likely due to a propagule bank of early seral species that developed between fires. Persistence of flora was driven by vegetative sprouting, on-site seed banks, and dispersal from off-site seed sources. Several broadly generalizable plant functional traits (e.g. rapid maturation, long-lived seed banks) were strongly associated with the SI burn. 4. Sprouting capacity of hardwoods and shrubs was unaltered by recurrent fire, but hardwood/shrub biomass was lower in the SI burn because individuals were smaller before the second fire. Conifer regeneration densities were high in both the SI and LI burns (range = 298-6086 and 406-2349 trees ha(-1), respectively), reflecting similar availability of seed source and germination substrates. 5. Synthesis. SI severe fires are typically expected to be deleterious to forest flora and development; however, these results indicate that in systems characterized by highly variable natural disturbances (e.g. mixed-severity fire regime), native biota possess functional traits lending resilience to recurrent severe fire. Compound disturbance resulted in a distinct early seral assemblage (i.e. interval-dependent fire effects), thus contributing to the landscape heterogeneity inherent to mixed-severity fire regimes. Process-oriented ecosystem management incorporating variable natural disturbances, including 'extreme' events such as SI severe fires, would likely perpetuate a diversity of habitats and successional pathways on the landscape.",NO,YES,NO,NO,yes
307,"Rainy years counteract negative effects of drought on taxonomic, functional and phylogenetic diversity: Resilience in annual plant communities",2022,JOURNAL OF ECOLOGY,annual communities; drought; functional traits; gypsum soils; Mediterranean drylands; phylogenetic diversity; rain shelters,"Climate models forecast changes in the amount and distribution of rain, which may affect ecosystems worldwide, especially in drylands where water is already the limiting factor for plant life. Annual plant communities are common in drylands where they can complete their entire life cycle during the rainy period while avoiding the dry season. Moreover, seed dormancy allows them to disperse over time by remaining in the seed bank for long periods. However, the extent to which these communities will be able to tolerate increasing drought is uncertain. We performed a 5-year rainfall reduction treatment under field conditions and determined its effects on annual plant communities in a Mediterranean gypsum ecosystem. We assessed the taxonomic, functional and phylogenetic diversity of these communities each year for 5 years. The taxonomic and functional diversity decreased under the rainfall reduction treatment, whereas the phylogenetic diversity increased. Moreover, the relative importance of species with drought-resistant functional designs increased in the community assemblages. However, after a rainy season with above average rainfall, all of the diversity values recovered completely even under the rainfall reduction treatment. Our results provide important insights into the responses of these plant communities under a climate change scenario, where they indicate high losses of diversity during drought events but rapid recovery in milder years. Synthesis. Our findings highlight the great resilience of annual plant communities in drylands, which may allow them to tolerate increased drought under the present climate change scenario.",NO,YES,NO,NO,yes
2001,Changes in quantity and timing of foliar and reproductive phenology of tropical dry-forest trees under a warming and drying climate,2025,JOURNAL OF ECOLOGY,Afromontane forest; amplitude; climate change; cosinor rhythmometry; Fourier series; litterfall; phase; primary productivity,"Plant phenology drives population dynamics and forest productivity; it is also impacted by shifting environmental cues under climate change such as more prevalent drought. It is imperative to better understand how species and community phenology respond to climate change in leaf turnover and reproduction, both of which are required to integrate phenology into full life-cycle assessments. However, relatively few studies to date examined the quantity and timing of phenology simultaneously. We demonstrate that the simultaneous assessment of phenological quantity and timing across multiple organs reveals more nuanced and holistic insights into the consequences of climate change. Extending a regression approach based on Fourier series, we decomposed the long-term (2004-2020) monthly leaf shedding, leaf flush, flowering and fruiting of 617 trees across 94 taxa at a Nigerian seasonally dry tropical forest into three periodic components-mean intensity, amplitude and phase-which respectively represent the total quantity, pulse concentration and peak timing of phenology. We then related each periodic component to warming minimum temperature and drying wet season rainfall. We found that climate explained more variation in phenological amplitudes (14%-66%) compared to mean intensity and timing (6%-49%). In drier years, more species (18%) shed leaves earlier (changing timing) or in more concentrated pulses (changing amplitude), while only a few (2%) shed leaves in greater total amounts (changing mean intensity). This, combined with the decreased mean intensity of leaf flush, implies a lower primary productivity as trees deployed fewer leaves for a shorter period. Some species (30%) produced fewer fruits despite no change or even an increase in flowering; in a few species, this could be explained by a shortened flowering period that limited pollination. At the community level, reproduction became more synchronous, potentially creating periods of scarcity for consumers. Synthesis. Our findings highlight several contrasting yet complementary phenology-climate insights, indicating that assessments of forests' climate resilience necessitate multiple aspects of phenology rather than a single performance indicator. The decline of leaf and fruit production, as well as the temporal mismatches in leaf turnover and reproduction, will have cascading impacts on trophic interactions and nutrient cycling.",NO,NO,NO,NO,no
85,Ocean warming undermines the recovery resilience of New England kelp forests following a fishery-induced trophic cascade,2024,ECOLOGY,herbivory; Laminaria digitata; phase shift; range shift; Saccharina latissima; species on the move; top-down vs. bottom-up,"Ecological theory predicts that kelp forests structured by trophic cascades should experience recovery and persistence of their foundation species when herbivores become rare. Yet, climate change may be altering the outcomes of top-down forcing in kelp forests, especially those located in regions that have rapidly warmed in recent decades, such as the Gulf of Maine. Here, using data collected annually from 30+ sites spanning >350 km of coastline, we explored the dynamics of Maine's kelp forests in the similar to 20 years after a fishery-induced elimination of sea urchin herbivores. Although forests (Saccharina latissima and Laminaria digitata) had broadly returned to Maine in the late 20th century, we found that forests in northeast Maine have since experienced slow but significant declines in kelp, and forest persistence in the northeast was juxtaposed by a rapid, widespread collapse in the southwest. Forests collapsed in the southwest apparently because ocean warming has-directly and indirectly-made this area inhospitable to kelp. Indeed, when modeling drivers of change using causal techniques from econometrics, we discovered that unusually high summer seawater temperatures the year prior, unusually high spring seawater temperatures, and high sea urchin densities each negatively impacted kelp abundance. Furthermore, the relative power and absolute impact of these drivers varied geographically. Our findings reveal that ocean warming is redefining the outcomes of top-down forcing in this system, whereby herbivore removal no longer predictably leads to a sustained dominance of foundational kelps but instead has led to a waning dominance (northeast) or the rise of a novel phase state defined by turf algae (southwest). Such findings indicate that limiting climate change and managing for low herbivore abundances will be essential for preventing further loss of the vast forests that still exist in northeast Maine. They also more broadly highlight that climate change is rewriting the rules of nature, and thus that ecological theory and practice must be revised to account for shifting species and processes.",NO,YES,NO,NO,yes
867,"Population diversity in salmon: linkages among response, genetic and life history diversity",2016,ECOGRAPHY,,"Response diversity and asynchrony are important for stability and resilience of meta-populations, however little is known about the mechanisms that might drive such processes. In salmon populations, response diversity and asynchrony have been linked to the stability of their meta-populations and the fisheries that integrate across them. We examined how population diversity influenced response diversity and asynchrony in 42 populations of Chinook salmon from the Fraser River, British Columbia. We examined diversity in the survival responses to large-scale ocean climate variables for populations that differed in life history. Different life-histories responded differently to ocean environmental conditions. For instance, an increase of offshore temperature was associated with decreased survival for a population with ocean rearing juveniles but increased survival for a population with stream rearing juveniles. In a second analysis, we examined asynchrony in abundance between populations, which we then correlated with life history, spatial, and genetic diversity. Populations that were more genetically distant had the most different population dynamics. Collectively, these results suggest that fine-scale population diversity can contribute to the asynchrony and response diversity that underpins the stability of fisheries or metapopulation dynamics, and emphasize the need to manage and conserve this scale of population diversity.",NO,YES,NO,NO,yes
483,Multi-criteria assessment of the resilience of ecological function areas in China with a focus on ecological restoration,2020,ECOLOGICAL INDICATORS,Ecological restoration; Ecological functional area; Resilience; Multi-criteria model; China,"Population growth and rapid economic development have led to serious and widespread negative ecological impacts, so the world is faced with the task of ecological recovery. China, in particular, is carrying out a nationwide land improvement and ecological restoration campaign. The spatial distribution of ecological resilience needs to be fully considered in the planning of these projects. However, most current ecological assessments lack a focus on resilience. Based on selected resilience principles, this paper constructs an assessment indicator system for national-scale ecological resilience, evaluates the level of ecological resilience of 1,434 ecological function areas in China and discusses the layout of ecological restoration projects throughout the country. The main conclusions are as follows: (1) In China, the level of ecological resilience varies widely based on location. Generally, it shows high levels of ecological resilience occur in the south and low in the north. The resilience index ranged from 0 to 0.585. The natural condition index is the most important indicator affecting resilience. (2) China's existing ecological restoration projects are mostly distributed in areas with low levels of resilience. Restorative ecological engineering is not directly related to the distribution of resilience but is affected by the level of resilience. (3) The levels of China's resilience has a negative relationship with ecological sensitivity and ecological vulnerability level. Constructing a national-scale resilience assessment index system based on resilience criteria can effectively reveal the overall pattern of national-scale resilience. This study can provide reference for the ecological restoration planning, assessment, and adaptive management on a national level.",NO,YES,NA,NO,no
118,Interacting effects of fire and hydroclimate on oak and beech community prevalence in the southern Great Lakes region,2024,JOURNAL OF ECOLOGY,aridity; disturbance regime; drought; Fagus grandifolia; fire; Holocene; hydroclimate; lake-level; palaeoecology; pollen; Quercus; rapid ecological change; stable carbon isotopes,"Rising temperatures, increasing hydroclimate variability and intensifying disturbance regimes increase the risk of rapid ecosystem conversions. We can leverage multi-proxy records of past ecosystem transformations to understand their causes and ecosystem vulnerability to rapid change. Prior to Euro-American settlement, northern Indiana was a mosaic of prairie, oak-dominated forests/woodlands and beech-dominated hardwood forests. This heterogeneity, combined with well-documented but poorly understood past beech population declines, make this region ideal for studying the drivers of ecosystem transformations. Here, we present a new record from Story Lake, IN, with proxies for vegetation composition (pollen), fire (charcoal) and beech intrinsic water use efficiency (delta 13C of beech pollen; delta 13Cbeech). Multiple proxies from the same core enable clear establishment of lead-lag relationships. Additionally, delta 13Cbeech enables direct comparisons between beech population abundance and physiological responses to changing environments. We compare Story Lake to a nearby lake-level reconstruction and to pollen records from nearby Pretty and Appleman Lakes and the distal Spicer Lake, to test hypotheses about synchrony and the spatial scale of governing processes. The 11.7 ka sediment record from Story Lake indicates multiple conversions between beech-hardwood forest and oak forest/woodland. Beech pollen abundances rapidly increased between 7.5 and 7.1 ka, while oak declined. Oak abundances increased after 4.6 ka and remained high until 2.8 ka, indicating replacement of mesic forests by oak forest/woodland. At 2.8 ka, beech abundances rapidly increased, indicating mesic forest reestablishment. Beech and oak abundances correlate with charcoal accumulation rates but beech abundance is not correlated with delta 13Cbeech. Fluctuations in beech abundances are synchronous among Story, Appleman and Pretty Lakes, but asynchronous between Story and Spicer Lakes, suggesting regulation by local-scale vegetation-fire-climate feedbacks and secondarily by regional-scale drivers. Holocene forest composition and fire dynamics appear to be closely co-regulated and may be affected by local to regional climate variations. The importance of extrinsic drivers and positive/negative feedbacks changes over time, with higher ecoclimate sensitivity before 2.8 ka and greater resilience afterwards. Synthesis: Overall, oak- and beech-dominated ecosystems were highly dynamic over the Holocene, with multiple ecosystem conversions driven by shifting interactions among vegetation, hydroclimate and fire regime. Rising temperatures, increasing hydroclimate variability and intensifying disturbance regimes increase the risk of rapid ecosystem conversions. Here, we present a new 8000-year record from Story Lake, IN to study past ecosystem transformations in mesic temperate forests. We find that oak- and beech-dominated ecosystems were highly dynamic over this period, with multiple ecosystem conversions at local to landscape scales driven by shifting interactions among vegetation, hydroclimate and fire regime.image",NO,YES,NO,NO,yes
2079,Trends in background mortality in unmanaged forests across Europe over the last century,2025,JOURNAL OF ECOLOGY,dynamics of unmanaged temperate forests; ecological niche; long-term annual background mortality rate; pan-European tree mortality; tree demography,"Anthropogenic climate change has led to increasing background tree mortality rates worldwide. Tree species have different ways of dealing with changing environmental conditions due to their life-history strategies and location within their ecological niche. Trees growing further from the centre of their niche are likely to experience higher levels of climatic stress and potentially higher mortality, whereas trees growing closer to the niche centre may experience higher intraspecific competition. To study the complex interplay of abiotic and biotic factors leading to tree mortality, we used a comprehensive network of permanent plots with repeated censuses spanning from 1936 to 2020 in 299 unmanaged forest reserves across Europe. The database includes 1.5 million stem records covering a total sampled area of 853.7 ha. We (1) calculated background mortality rates, (2) analysed trends in mortality rates and (3) investigated how the trends relate to the location of each tree within its ecological niche. We used Species Distribution Models (SDMs) to locate trees within their niche and generalized linear mixed models (GLMMs) to model mortality. We observed an overall median annual background mortality rate of 1.1%. Spruce-dominated forests had the largest increase in annual mortality from 1.5% to 3%. Similarly, the models showed a significant increase in oak-dominated forests, whereas beech-dominated forests showed a significant decrease in annual mortality rates over time. We identified three distinct mortality responses with respect to the location of trees in their ecological niche. For oak, spruce and mountain pine, higher mortality probabilities occurred when they were located further from their niche centre. Hornbeam, ash and Scots pine showed the opposite pattern and beech and fir featured an almost negligible effect of distance from the niche centre. Synthesis. In contrast to previous studies, our results suggest that dominant tree species in European natural forests have not consistently experienced increasing background mortality under anthropogenic climate change. Conversely, forest reserves dominated by competitive species such as beech may have benefitted from warmer growing conditions. Most studied tree species show no clear effect of distance from the niche centre, indicating high resilience and adaptability to environmental stress.",NO,NO,NO,NO,no
1302,Ecosystem restoration strengthens pollination network resilience and function,2017,NATURE,,"Land degradation results in declining biodiversity and the disruption of ecosystem functioning worldwide, particularly in the tropics(1). Vegetation restoration is a common tool used to mitigate these impacts and increasingly aims to restore ecosystem functions rather than species diversity(2). However, evidence from community experiments on the effect of restoration practices on ecosystem functions is scarce(3). Pollination is an important ecosystem function and the global decline in pollinators attenuates the resistance of natural areas and agro-environments to disturbances(4). Thus, the ability of pollination functions to resist or recover from disturbance (that is, the functional resilience)(5,6) may be critical for ensuring a successful restoration process'. Here we report the use of a community field experiment to investigate the effects of vegetation restoration, specifically the removal of exotic shrubs, on pollination. We analyse 64 plant-pollinator networks and the reproductive performance of the ten most abundant plant species across four restored and four unrestored, disturbed mountaintop communities. Ecosystem restoration resulted in a marked increase in pollinator species, visits to flowers and interaction diversity. Interactions in restored networks were more generalized than in unrestored networks, indicating a higher functional redundancy in restored communities. Shifts in interaction patterns had direct and positive effects on pollination, especially on the relative and total fruit production of native plants. Pollinator limitation was prevalent at unrestored sites only, where the proportion of flowers producing fruit increased with pollinator visitation, approaching the higher levels seen in restored plant communities. Our results show that vegetation restoration can improve pollination, suggesting that the degradation of ecosystem functions is at least partially reversible. The degree of recovery may depend on the state of degradation before restoration intervention and the proximity to pollinator source populations in the surrounding landscape(5,8). We demonstrate that network structure is a suitable indicator for pollination quality, highlighting the usefulness of interaction networks in environmental management(6,9).",NO,YES,NO,NO,yes
1780,Brain aerobic glycolysis and resilience in Alzheimer disease,2023,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Alzheimer's disease; aerobic glycolysis; resilience; aging; white matter hyperintensities,"The distribution of brain aerobic glycolysis (AG) in normal young adults correlates spa-tially with amyloid-beta (A beta) deposition in individuals with symptomatic and preclinical Alzheimer disease (AD). Brain AG decreases with age, but the functional significance of this decrease with regard to the development of AD symptomatology is poorly under-stood. Using PET measurements of regional blood flow, oxygen consumption, and glucose utilization-from which we derive AG-we find that cognitive impairment is strongly associated with loss of the typical youthful pattern of AG. In contrast, amyloid positivity without cognitive impairment was associated with preservation of youthful brain AG, which was even higher than that seen in cognitively unimpaired, amyloid negative adults. Similar findings were not seen for blood flow nor oxygen consumption. Finally, in cognitively unimpaired adults, white matter hyperintensity burden was found to be specifically associated with decreased youthful brain AG. Our results suggest that AG may have a role in the resilience and/or response to early stages of amyloid pathology and that age-related white matter disease may impair this process.",NO,NO,NO,YES,no
