Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human
1,Assessment of coastal zone ecosystem health in the context of tourism development: A case study of Jiaozhou Bay,2024,ECOLOGICAL INDICATORS,Land use; Ecosystem health assessment; Landscape index; Coastal tourism; Spatio-temporal pattern; Jiaozhou Bay,"The coastal zone of Jiaozhou Bay is crucial to the economic development of the Shandong Peninsula. The health of its ecosystem is a key metric for evaluating both current and future development. Building upon existing land use planning, this study innovatively constructs a classification system for tourism land use. Utilizing the Vigor- Organization-Resilience (VOR) model, the research establishes an index system for evaluating ecosystem health. By examining the impact of changes in tourism land use on various indicators of ecosystem health, this study quantitatively assesses the health status of the Jiaozhou Bay coastal ecosystem from 2012 to 2022. The health status is categorized into five levels: best, good, moderate, poor, and extremely poor, thereby revealing its spatiotemporal differentiation characteristics. Key findings include: (1) Decrease in Tourism Land Area: There has been a general reduction in tourism land area, with a significant transition from field landscapes to woodland landscapes. Additionally, notable bidirectional transfers between tourism and non-tourism lands have been observed. (2) Between 2012 and 2022, the health status of the Jiaozhou Bay coastal ecosystem was assessed through three critical indicators: ecosystem vitality, organizational capacity, and resilience. These indicators all exhibited a downward trend. High levels of ecosystem vitality, organizational capacity, and resilience were predominantly found in the northern and western parts of Jiaozhou Bay, while low levels were more commonly observed in the eastern regions. (3) Overall Ecosystem Health: During the same period, the average value of ecosystem health in Jiaozhou Bay showed a slight downward trend, with a decrease in the area of areas with the best and better ecosystem health, higher spatial fragmentation, and an overall deterioration in health. This analysis highlights the complex relationship between tourism development and ecosystem health, revealing significant shifts in land use and their implications for environmental sustainability.",NO,YES,NO,NO
2,Strategic planting and nutrient amendments to accelerate the revegetation of rapidly retreating coastal dunes,2025,JOURNAL OF APPLIED ECOLOGY,ecological engineering; facilitation; fertilizer; Panicum armaum; resilience; restoration; sand dunes; Uniola paniculata,"The increasing frequency and severity of disturbances to coastal dune ecosystems requires developing and implementing restoration strategies that rapidly accelerate re-establishment of vegetation, enhance dune accretion, and ultimately preserve dune ecosystem services. To assess how to rapidly re-establish vegetation to counter ecosystem losses, we conducted a manipulative field experiment on a created foredune crest in Northeast Florida, USA to determine what combinations of planting density, outplant species composition, and nutrient addition maximize dune revegetation rate. Above-ground biomass in densely planted plots with added nutrients was 4.7-7.3 times that of plots planted at conventional restoration densities after only 3 months. Critically, thickly vegetated, high-density plots with nutrient addition accreted 1-5 cm more sediment after 3 months and 7.5-22 cm more sediment after 15 months, demonstrating that this planting method can rapidly kickstart dune-building processes. Additionally, above- and below-ground biomass in densely planted, fertilized plots containing bitter panicum (Panicum amarum) were consistently higher and accreted more sand than similar plots planted with sea oats (Uniola paniculata), suggesting that planting schemes involving this early successional species may be most effective for rapid dune-building. Synthesis and applications. Because coupling nutrient addition with dense planting can trigger self-sustaining, reinforcing plant growth and dune-building feedbacks within only months, this planting approach may help to enhance the long-term success of dune restoration projects.",NO,NO,NO,NO
3,Two decades of arthropod biodiversity after windthrow show different dynamics of functional groups,2025,JOURNAL OF APPLIED ECOLOGY,arthropod succession; deadwood; extreme events; forest regeneration; insects; resilience; salvage logging; storm,"Windthrow disturbance is an important driver of arthropod diversity in forests. In the past, studies have mainly focused on the first years after disturbance, and there are hardly any data on arthropod trajectories in windthrows and on salvage logging effects over decades. We sampled arthropods of different functional groups on 16 permanent plots following two windstorms (Vivian and Lothar) in coniferous and broadleaf forests at different elevations in Central Europe over two decades. Flight interception and pitfall traps were operated during the entire growing seasons in three habitat types per site: unsalvaged windthrow, salvaged windthrow and control forest. In total, 524,115 individuals from 1666 arthropod species were identified, of which more than 90% occurred in windthrows, including 40%-53% species exclusively found in windthros. Over the two decades, saproxylics, herbivores, pollinators, predators and endangered species showed significantly higher species numbers and abundances in windthrows than in control forests, where only 6% exclusive species occurred. Arthropod communities in windthrows showed distinct dynamics during the two decades. Their species numbers and abundances peaked in the first 3 years, coined by saproxylic species, such as bark beetles, and by pollinating hoverflies. While abundances declined rapidly, species numbers remained elevated for two decades. Arthropod similarity between windthrows and forests (indicating resilience) increased with time but depended on elevation and forest type. After 20 years, it reached an average of 50% in lowland broadleaf forests, but only 30% in high-elevation spruce forests, indicating lower resilience. Salvage logging had no significant effect on overall species numbers but altered species composition. More than 10% exclusive species were found in salvaged and up to 20% in unsalvaged windthrows, with the latter supporting more endangered species, particularly towards the second decade. Synthesis and applications. Our study shows that windthrow causes an initial boost of arthropod diversity. While abundances thereafter rapidly decline, species numbers remain at relatively high levels during at least two decades. Unsalvaged windthrows are an indispensable resource for endangered species, particularly in later wood decay stages. St & uuml;rme sind wichtige Faktoren f & uuml;r die Erhaltung der Arthropodenvielfalt in W & auml;ldern. Bisherige Untersuchungen bezogen sich haupts & auml;chlich auf die ersten Jahre nach der St & ouml;rung, und es gibt kaum Angaben zur l & auml;ngerfristigen Entwicklung von Arthropoden in Windw & uuml;rfen und zu den Auswirkungen einer Holzr & auml;umung. Wir beprobten verschiedene funktionelle Gruppen von Arthropoden auf 16 Dauerbeobachtungsfl & auml;chen nach zwei St & uuml;rmen (Vivian, Lothar) in Nadel- und Laubw & auml;ldern unterschiedlicher H & ouml;henlagen in Mitteleuropa & uuml;ber zwei Jahrzehnte. W & auml;hrend der gesamten Vegetationsperiode wurden Flug- und Bodenfallen in drei Lebensraumtypen betrieben: unger & auml;umter Windwurf, ger & auml;umter Windwurf und intakter Kontrollwald. Insgesamt wurden 524 ' 115 Individuen von 1 ' 666 Arthropodenarten bestimmt. Mehr als 90% der Arten kamen in den Windw & uuml;rfen vor, 40%-53% sogar ausschlie ss lich dort. In dieser Periode von 20 Jahren wiesen Windw & uuml;rfe deutlich h & ouml;here Artenzahlen und Abundanzen an Xylobionten, Herbivoren, Best & auml;ubern, R & auml;ubern und gef & auml;hrdeten Arten auf als intakte W & auml;lder. Nur 6% der Arten kamen ausschliesslich im Kontrollwald vor. Die Artengemeinschaften in Windw & uuml;rfen zeigten eine deutliche Dynamik in diesen zwei Jahrzehnten. Ihre Artenzahlen und Abundanzen erreichten in den ersten drei Jahren ihr Maximum. Diese Phase war von xylobionten Arten wie Borkenk & auml;fern und Bl & uuml;tenbesuchern wie Schwebfliegen gepr & auml;gt. W & auml;hrend die Abundanzen rasch zur & uuml;ckgingen, blieb die Artenzahl zwei Jahrzehnte lang auf einem hohen Niveau. Die & Auml;hnlichkeit (Similarity) der Arthropoden zwischen Windw & uuml;rfen und W & auml;ldern nahm mit der Zeit zu (Resilienz), hing jedoch von H & ouml;henlage und Waldtyp ab. Nach 20 Jahren erreichte sie in den Laubw & auml;ldern des Tieflandes durchschnittlich 50%, in hochgelegenen Fichtenw & auml;ldern jedoch nur 30%, was eine geringere Resilienz bedeutet. Die Sturmholzr & auml;umung hatte keine signifikanten Auswirkungen auf die Gesamtartenzahl, ver & auml;nderte aber die Artenzusammensetzung. Mehr als 10% exklusive Arten wurden in ger & auml;umten und bis zu 20% in unger & auml;umten Windw & uuml;rfen gefunden, wobei letztere mehr gef & auml;hrdete Arten aufwiesen, insbesondere in der zweiten Dekade. Synthese und Anwendungen: Unsere Studie zeigt, dass ein Windwurf zu einer markanten Zunahme der Arthropodenvielfalt f & uuml;hrt. W & auml;hrend die Abundanzen schnell wieder abnehmen, bleiben die Artenzahlen & uuml;ber mindestens 20 Jahre auf relativ hohem Niveau. Unger & auml;umte Sturmfl & auml;chen sind eine herausragende Ressource f & uuml;r gef & auml;hrdete Arten, insbesondere in sp & auml;teren Zerfallsstadien.",NO,YES,NO,NO
4,Assessment of ecological resilience and its response mechanism to land spatial structure conflicts in China's Southeast Coastal Areas,2025,ECOLOGICAL INDICATORS,Spatial structure conflict; Ecological resilience; Spatial externalities; Land use control; China Southeast Coastal Area (CSCA),"As a key region in China's reform and opening up, the China's Southeast Coastal Areas (CSCA) is experiencing a rapid decline in ecological resilience and environmental risk resistance due to accelerated socioeconomic development. Consequently, assessing the impact of land spatial structural transformation on environmental resilience and developing suitable regulatory strategies has emerged as a critical issue in this region. This study develops an assessment framework for ecological resilience (ER) and Production-Living- Ecological space structure conflict (SCCI) utilizing multi-source remote sensing data and socioeconomic statistics from 2000 to 2022. This framework aims to uncover long-term evolution patterns, spatial correlations, and driving mechanisms. The study finds that the ER of CSCA has exhibited a convergence trend of 11.55% since the 21st century, whereas the Production-Living- Ecological space structure conflict achieved an overall increase of 6.34%. The spatial mismatch between ER and SCCI is the primary clustering type of their geographical association. However, the proportion of cities exhibiting this mismatch is gradually decreasing, primarily concentrated in coastal urban agglomerations and southeastern hilly regions. An increase of 1 unit in SCCI results in a decrease in local ecological resilience by 0.130-0.207, while neighboring areas experience a decline in environmental resilience of 1.764-3.849. This indicates that the spatial externality effects of spatial structural conflict on ecological resilience are significantly greater than the local effects. Furthermore, spatial complexity, instability, and vulnerability exacerbate the negative impact on ecological resilience through nonlinear interactions. This finding supports the feasibility of implementing Production-Living-Ecological space control mechanisms-scale transformation, stability maintenance, and connectivity building-to restore ecological resilience. Addressing these issues offers new insights into the relationship between spatial transformation and ecological resilience in the region. It provides valuable lessons for the territorial spatial control planning aimed at enhancing ecological resilience.",NO,YES,NO,NO
5,Climate Change Drives Changes in the Size and Composition of Fungal Communities Along the Soil-Seedling Continuum of Schima superba,2025,MOLECULAR ECOLOGY,climate change; drought; plant microbiome; soil-tree seedling continuum; warming,"Plant microbiomes have a major influence on forest structure and functions, as well as tree fitness and evolution. However, a comprehensive understanding of variations in fungi along the soil-plant continuum, particularly within tree seedlings, under global warming is lacking. Here, we investigated the dynamics of fungal communities across different compartments (including bulk soil and rhizosphere soil) and plant organs (including the endosphere of roots, stems and leaves) of Schima superba seedlings exposed to experimental warming and drought using AccuITS absolute quantitative sequencing. Our results revealed that warming and drought significantly reduced the number of specific fungal amplicon sequence variants (ASVs) in the bulk soil and rhizosphere soil, respectively. Variations in fungal communities were mainly explained by compartments and plant organs, with the composition of endophytic fungal communities within leaves (primarily attributed to species gain or loss) being most influenced by climate change. Moreover, warming significantly reduced the migration of Ascomycota, soil saprotrophs, wood saprotrophs and yeasts from the bulk soil to the rhizosphere soil but increased that of plant pathogens from the roots to the stems. Drought significantly decreased the absolute abundances of Chytridiomycota, Glomeromycota and Rozellomycota, as well as the migration of ectomycorrhizal fungi from the bulk soil to the rhizosphere soil but increased that of plant pathogens. Warming could indirectly reduce leaf area by increasing the diversity of leaf pathogens. These findings have potential implications for enhancing the resilience and functioning of natural forest ecosystems under climate change through the manipulation of plant microbiomes, as demonstrated in agroecosystems.",NO,NO,NO,NO
6,Precipitation anomalies may affect productivity resilience by shifting plant community properties,2024,JOURNAL OF ECOLOGY,above-ground primary productivity; climate extremes; community composition; drought; precipitation; resilience; stability,"Climate change is causing marked shifts to historic environmental regimes, including increases in precipitation events (droughts and highly wet periods). Relative to droughts, the impacts of wet events have received less attention, despite heavy rainfall events increasing over the past century. Further, impacts of wet and dry events are often evaluated independently; yet, to persist and maintain their ecosystem functions, plant communities must be resilient to both precipitation events. This is particularly critical because while community properties can modulate the resilience (resistance, recovery, and invariability) of ecosystem functions to precipitation events, community properties can also respond to precipitation events. As a result, community responses to wet and dry years may impact the community's resilience to future events. Using two decades (2000-2020) of annual net primary productivity data from early successional grassland communities, we evaluated the plant community properties regulating primary productivity resistance and recovery to contrasting precipitation events and invariability (i.e. long-term stability). We then explored how resilience-modulating community properties responded to precipitation. We found that community properties-specifically, evenness, dominant species (Solidago altissima) relative abundance, and species richness-strongly regulate productivity resistance to drought and predict productivity invariability and tended to promote resistance to wet years. These community properties also responded to both wet and dry precipitation extremes and exhibited lagged responses that lasted into the next growing season. We infer that these connections between precipitation events, community properties, and resilience may lead to feedbacks impacting a plant community's resilience to subsequent precipitation events. Synthesis. By exploring the impacts of both drought and wet extremes, our work uncovers how precipitation events, which may not necessarily impact productivity directly, could still cryptically influence resilience via shifts in resilience-promoting properties of the plant community. We conclude that these precipitation event-driven community shifts may feedback to impact long-term productivity resilience under climate change.",NO,YES,NO,NO
7,Increased resilience and a regime shift reversal through repeat mass coral bleaching,2024,ECOLOGY LETTERS,beta diversity; coral reef ecology; ecosystem function; herbivory; Indian Ocean; marine heatwave; recovery; reef fish; resistance,"Ecosystems are substantially changing in response to ongoing climate change. For example, coral reefs have declined in coral dominance, with some reefs undergoing regime shifts to non-coral states. However, reef responses may vary through multiple heat stress events, with the rarity of long-term ecological datasets rendering such understanding uncertain. Assessing coral reefs across the inner Seychelles islands using a 28-year dataset, we document faster coral recovery from the 2016 than the 1998 marine heatwave event. Further, compositions of benthic and fish communities were more resistant to change following the more recent heat stress, having stabilized in a persistent altered state, with greater herbivory, following the 1998 climate disturbance. Counter to predictions, a macroalgal-dominated reef that had regime-shifted following the 1998 disturbance is transitioning to a coral-dominated state following the 2016 heat stress. Collectively, these patterns indicate that reef systems may be more resilient to repeat heatwave events than anticipated.",NO,YES,NO,NO
8,Getting better with age: Lessons from the Kenya Long-term Exclosure Experiment (KLEE),2024,ECOLOGY LETTERS,delayed responses; drought; environmental change; herbivore exclosures; livestock; mega-herbivores; year effects,"The Kenya long-term exclosure experiment (KLEE) was established in 1995 in semi-arid savanna rangeland to examine the separate and combined effects of livestock, wildlife and megaherbivores on their shared environment. The long-term nature of this experiment has allowed us to measure these effects and address questions of stability and resilience in the context of multiple drought-rainy cycles. Here we outline lessons learned over the last 29 years, and how these inform a fundamental tension in long-term studies: how to balance the need for question-driven research with the intangible conviction that long-term data will yield valuable findings. We highlight the value of (1) identifying experimental effects that take many years to manifest, (2) quantifying the effects of different years (including droughts) and (3) capturing the signatures of anthropogenic change. We also highlight the potential for long-term studies to create a collaborative community of scientists that brings new questions and motivates continued long-term study.",YES,YES,NO,NO
9,Changes in plant-soil C-N-P stoichiometry during the vegetation recovery of bare patches caused by plateau pika ( Ochotona curzoniae) on the Qinghai-Tibet plateau,2024,ECOLOGICAL INDICATORS,C -N-P stoichiometry; Plant-soil; Plateau pika; Bare patch; Vegetation recovery,"Bioturbation caused by herbivorous fossorial mammals creates extensive bare patches through their burrowing activities. Understanding changes in plant-soil carbon (C), nitrogen (N), and phosphorus (P) stoichiometry during the vegetation recovery of these bare patches is crucial for elucidating the restoration mechanisms of disturbed grassland ecosystems. This study considered plateau pika (Ochotona curzoniae) as the focal species and categorized the bare patches into short-term and long-term bare patches using a spatial substitution strategy, with surrounding vegetated surfaces in disturbed alpine meadows as controls. Results showed that P concentration in plant roots was 32.58% higher in long-term bare patches compared to short-term bare patches. However, no significant changes were observed in C and N concentrations in either plant shoots or roots during vegetation recovery process. Soil N concentrations were 38.78% lower in short-term bare patches and 36.65% lower in longterm bare patches compared to vegetated surfaces. The C:N ratio in plant shoots was 18.26% lower in short-term bare patches than in vegetated surfaces, whereas the soil C:N ratio was 39.42% higher in long-term bare patches compared to vegetated surfaces. However, no changes were observed in the C:P and N:P ratio of both plant and soil during vegetation recovery process of bare patches. These findings indicate that P concentration in plant roots can serve as a reliable indicator of the vegetation recovery process of bare patches caused by plateau pikas. Furthermore, plants in short-term bare patches prioritize rapid growth through resource allocation, while in long-term bare patches, they enhance nutrient use efficiency to achieve greater stability and resilience. These insights into plant-soil nutrient dynamics provide a deeper understanding of ecosystem resilience and recovery processes in disturbed alpine meadows, offering a valuable foundation for more targeted grassland management strategies.",NO,YES,NO,NO
10,Unveiling the impacts of climate change and human activities on land-use evolution in ecologically fragile urbanizing areas: A case study of China's Central Plains urban agglomeration,2024,ECOLOGICAL INDICATORS,Land-use modeling; Scenario simulation; Environmental change; Urbanization; Sustainable ecosystem management,"Environmental changes driven by climate change and human activities have significantly influenced the spatiotemporal evolution of land-use in urbanizing, ecologically fragile areas. However, these dynamics remain inadequately explored in terms of their evolution over space and time. In this study, we used a combination of CA-Markov and Coupling coordinated models to analyze the impacts of climate change and human activities on land-use evolution in China's Central Plains Urban Agglomeration (CPUA) from 2000 to 2060. Our results reveal that environmental changes significantly influence the spatiotemporal evolution of land use, accelerating rural- to-urban conversions in ecologically vulnerable regions, as validated by a CA-Markov model Kappa coefficient of 0.8378. These impacts, however, are predicted to diminish over time, with the strongest effects observed in areas with high ecological fragility. Specifically, increasing variability in climate conditions and intensifying human activities have resulted in cropland reduction at a rate of-260 km2/year and a simultaneous increase in built-up areas at a rate of 200 km2/year. This study underscores the critical influence of environmental changes on land-use dynamics and provides insights for policymakers and planners on promoting ecological resilience and sustainable land-use management to tackle the evolving challenges of climate change and human-induced disturbances.",NO,NO,NO,NO
