paper_id,Criteria met,Justification
282,IN,The study explicitly defines and calculates a Resilience Index (RI = 1−γ) within an exposure-sensitivity-resilience framework and uses it quantitatively in the ecological vulnerability analysis.
852,IN,"The study explicitly defines and computes quantitative resistance, recovery, and resilience growth indices (Rt, Rc, Rs) from basal area increment around the 1985–1986 drought and analyzes them statistically."
242,IN,"The study explicitly defines, mathematically computes, and analyzes multiple quantitative resilience indices (resistance, recovery, resilience, relative resilience) following Lloret et al. (2011)."
36,IN,The study explicitly defines and mathematically computes an Ecosystem Resilience Index (ERI) within a Vigor-Organization-Resilience-Stress (VORS) resilience-based framework and uses it in quantitative analysis.
97,IN,"The study explicitly frames demographic buffering and reduced variance in population growth (e.g., CV of λt, stochastic growth rate λS) as a mechanism of resilience and quantitatively computes these metrics and their changes due to symbionts."
1,IN,The study explicitly defines and calculates ecosystem resilience (ER) as part of the Vigor-Organization-Resilience model with a clear formula and quantitative results.
207,OUT,"Resilience is only discussed conceptually (e.g., structural resilience) and not explicitly quantified or proxied with a defined numerical resilience metric."
264,IN,"The study explicitly defines, mathematically formulates, and computes an ecological network resilience index based on quantified robustness and redundancy, and analyzes its values and dynamics."
202,IN,They explicitly define and calculate rmax as a numerical proxy for resilience and report derived metrics like daily maximum percent biomass increase and doubling time.
167,IN,The study explicitly uses functional evenness (FEve) as a numerical proxy for community resilience and quantitatively analyzes it as such.
81,IN,"The study explicitly defines, mathematically computes, maps, and analyzes an ecological resilience index (ERI) using a D-C-R framework with quantified indicators and weights."
17,IN,"The study explicitly defines resilience and resistance as stability metrics, provides ARx-based equations to calculate them from NDVI and hydroclimatic anomalies, and quantitatively analyzes the resulting indices."
419,IN,"The study explicitly states it quantifies ecological resilience, defines three measured dimensions (resistance, heterogeneity, recovery), and provides mathematical methods and indices to compute and analyze them."
35,IN,"The study explicitly defines vegetation resilience and quantitatively computes it as the negative lag-1 autocorrelation of EVI using a Bayesian dynamic linear model, then analyzes these resilience values and their trends."
86,OUT,"Resilience is only discussed conceptually and as a cited property of other studies; no resilience metric, proxy, or explicit quantitative resilience framework is defined or calculated in this study."
24,OUT,"Resilience is only mentioned conceptually and no quantitative resilience metric, proxy, or explicit resilience framework calculation is defined or used in the analyses."
132,OUT,"Resilience is discussed conceptually and via related traits (e.g., carbohydrates, productivity) but no explicit quantitative resilience metric or stated proxy is defined or calculated."
1125,IN,"The study explicitly defines resilience as recovery time and quantitatively estimates it using similarity indices, CCA-based trajectories, and a calculated regeneration index combining vegetation and seed bank data."
157,OUT,"Resilience is only mentioned conceptually and no variable or index is explicitly defined, calculated, or used as a proxy for resilience in the quantitative analysis."
212,IN,"The study explicitly quantifies growth resilience using defined indices (RT, RC, RS, TGR, RE, ARR) within a resilience framework and analyzes them mathematically."
117,IN,"The study explicitly defines and quantitatively computes resistance, recovery, and resilience of photosynthesis using mathematical expressions within a resilience framework."
95,OUT,Resilience is only mentioned conceptually and is not explicitly quantified or proxied by any calculated metric in the study.
114,OUT,"Resilience is only mentioned conceptually and no variable or index is explicitly defined, calculated, or used as a proxy for resilience in the quantitative analysis."
48,OUT,"Resilience is only mentioned conceptually and no variable or index is explicitly defined, calculated, or used as a proxy for resilience within a resilience framework."
