paper_id,Criteria met,Justification,model,error,time_taken
282,IN,The study explicitly defines and calculates a numerical Resilience Index (RI = 1−γ) within an exposure-sensitivity-resilience framework and uses it quantitatively in the ecological vulnerability analysis.,,,
852,IN,"The study explicitly defines and calculates quantitative resistance, recovery, and resilience growth indices (Rt, Rc, Rs) and analyzes them statistically as measures of growth resilience to drought.",,,
242,IN,"The study explicitly defines and calculates quantitative resilience indices (resistance, recovery, resilience, relative resilience) following Lloret et al. (2011) and uses them in the analysis.",,,
36,IN,The study explicitly defines and computes an Ecosystem Resilience Index (ERI) with a mathematical formula and uses it as a core component of the quantitative analysis framework (VORS).,,,
97,IN,"The study explicitly quantifies demographic buffering and variance reduction as a mechanism of resilience, computing stochastic growth rates, variance and CV of λt, and using these resilience-related metrics in its quantitative analyses and simulations.",,,
1,IN,"The study explicitly defines, formulates, standardizes, maps, and analyzes an ecosystem resilience indicator (ER) within the Vigor-Organization-Resilience model as part of its quantitative assessment.",,,
207,IN,"The study explicitly treats initial canopy complexity as supporting resistance and structural resilience, uses it as a quantitative predictor in mixed-effects models, and interprets resulting canopy-structure responses as resilience effects.",,,
264,IN,"The study explicitly defines, mathematically formulates, and computes an ecological network resilience index (balancing quantified robustness and redundancy) and analyzes its values and dynamics, including as a response to simulated shocks.",,,
202,IN,They explicitly define and compute maximum autotrophic biomass growth rate rmax and its derived daily percent increase as a proxy for resilience and use it quantitatively in their analysis.,,,
167,IN,The study explicitly uses functional evenness (FEve) as a quantified proxy for community resilience and analyzes it mathematically as a resilience metric.,,,
81,IN,"The study explicitly defines, computes, maps, and analyzes an ecological resilience index (ERI) using a formal D-C-R-based quantitative framework and employs it as the focal outcome in all quantitative analyses.",,,
17,IN,"The study explicitly defines and computes quantitative indices for ecosystem resilience and resistance using an ARx model and related indices, and uses them throughout the analysis.",,,
419,IN,"The study explicitly defines and quantitatively measures multiple dimensions of ecological resilience (resistance, heterogeneity, recovery) using soundscape metrics and recovery models as resilience indices.",,,
35,IN,The study explicitly defines and quantifies vegetation resilience as the negative lag-1 autocorrelation of EVI using a Bayesian dynamic linear model and analyzes its spatial-temporal patterns and drivers.,,,
86,OUT,Resilience is only discussed conceptually and not quantified or used as an explicit metric or proxy in the analyses.,,,
24,OUT,Resilience is only mentioned conceptually and not quantified or used as an explicit metric or proxy in the analyses.,,,
132,OUT,"Resilience is only discussed conceptually (e.g., reduced resilience near range limits) and not mathematically defined, quantified, or used as an explicit proxy or predictor in the analyses.",,,
1125,IN,"The study explicitly defines resilience as recovery time and quantitatively estimates it using similarity indices, CCA-based trajectories, and a regeneration index combining vegetation and seed bank data.",,,
157,OUT,"Resilience is only mentioned conceptually and no variable is defined, calculated, or used explicitly as resilience or a proxy for resilience in the quantitative analysis.",,,
212,IN,"The study explicitly defines, calculates, and analyzes multiple quantitative growth resilience indices (RT, RC, RS, TGR, RE, ARR) and uses them as resilience metrics in its statistical analyses.",,,
117,IN,"They explicitly define and calculate resistance, recovery, and resilience of photosynthesis with mathematical expressions and analyze them quantitatively.",,,
95,OUT,"Resilience is only mentioned conceptually and is not mathematically defined, quantified, or used as an explicit proxy or predictor in the analyses.",,,
114,OUT,"Resilience is only mentioned conceptually in the discussion and no quantitative resilience metric, proxy, or index is defined or used in the analyses.",,,
48,OUT,"The study quantifies ecological risk, connectivity, and resistance but does not define, calculate, or use any variable explicitly as resilience or a stated proxy for resilience.",,,
1075,OUT,"The study quantifies canopy recovery, turf cover, and sediment but only discusses resilience conceptually without defining or calculating any resilience metric or explicit proxy.",,,
715,OUT,"Resilience is only discussed conceptually (e.g., resistance, escape, rebound) and not explicitly quantified or used as a defined metric or proxy in the analyses.",,,
62,IN,"The study explicitly defines and mathematically computes an ecosystem resilience coefficient (ER, RCi) within the VORS ecosystem health framework and uses it quantitatively in analyses, including SEM where resilience loads strongly on EH as a predictor of tea production.",,,
171,OUT,"Resilience is only mentioned conceptually regarding population resilience and is not defined, quantified, or used as a numerical proxy or predictor in the analyses.",,,
101,OUT,"Resilience is only mentioned conceptually (drought resilience of microbes) and is not defined, quantified, or used as a proxy or predictor in the analyses.",,,
126,IN,"The study explicitly defines, mathematically computes, and analyzes resistance and resilience (with equations and log-transformed quantitative metrics) as key predictors and intermediates affecting community stability under climate change.",,,
214,IN,"The study explicitly defines and mathematically quantifies demographic resilience via transient metrics (resistance, compensation, recovery) computed from matrix population models and uses these resilience metrics as focal response variables in quantitative analyses.",,,
238,OUT,"Resilience is discussed conceptually and as linked to species richness and diversity, but no quantitative resilience metric, proxy explicitly defined as resilience, or resilience-based predictor is calculated or used in the analyses or tool outputs.",,,
124,IN,The study explicitly quantifies network robustness and restore robustness as measures of resilience and uses them to evaluate and compare landscape ecological network performance.,,,
1084,IN,"The study explicitly quantifies physiological resilience to heat shock and desiccation (e.g., recovery of Fv/Fm after stress) and uses these resilience measures as focal outcomes in the analysis.",,,
1189,IN,The study explicitly develops and maps numerical multiclass indicators of ecological resilience and resistance (R&R classes 1–10) based on climate regimes and uses them quantitatively in the analysis.,,,
163,OUT,The study quantifies temporal stability and asynchrony but only mentions resilience conceptually without defining or calculating any resilience metric or proxy.,,,
191,IN,The study explicitly defines and calculates resilience proxies (RLDC and RSDC ratios) and analyzes them quantitatively as measures of patch resilience under disturbances.,,,
187,IN,"The study explicitly quantifies bacterial community resilience (e.g., ‘strong functional resilience’) via CO2 flux measurements and two-pool decay models, using these as indicators of resilience after wildfire.",,,
9,OUT,"Resilience is only discussed conceptually as a property of the recovering ecosystem and is not mathematically defined, quantified, or used as an explicit proxy variable in the analyses.",,,
153,IN,The study explicitly defines resilience as ecosystem recovery ability and quantitatively maps it using a calculated NDVI trend metric that is integrated into the three-dimensional potential–resilience–connectivity framework for ecological source identification.,,,
226,IN,They explicitly quantify resilience within a resilience framework by using equilibrium tree density and extirpation thresholds as numerical proxies for forest resilience to changing fire regimes in their analyses.,,,
137,OUT,"Resilience is included as one component in the VORS ecosystem health index but is only assigned fixed values by land-use type without any explicit resilience framework, proxy statement, or separate quantitative resilience analysis.",,,
1117,IN,The study explicitly defines and computes an operational index of short-term retrospective resilience (1/|D̄|) for habitat scale domains and uses it quantitatively in the analysis.,,,
42,IN,"The study explicitly defines and calculates ecological resilience indices (ERIt, ERIa) and uses them quantitatively within a resilience-sensitivity framework to compute the ecological vulnerability index (EVI).",,,
92,OUT,"Resilience is only mentioned conceptually in relation to soil seed banks and recovery, and no variable is defined, calculated, or used explicitly as resilience or a proxy for resilience in the quantitative analysis.",,,
84,IN,"The study explicitly defines and calculates multiple quantitative growth resilience indices (resistance, recovery, resilience, relative resilience, recovery period, total growth reduction, recovery rate) and uses them in the analysis.",,,
112,IN,"The study explicitly defines and quantitatively computes a TSESR resilience index using an indicator system and Improved-TOPSIS, then uses this resilience metric in all subsequent quantitative analyses.",,,
269,OUT,"The study quantifies resistance and recovery but does not define, calculate, or use any variable explicitly as resilience or as a stated proxy for resilience within a resilience framework.",,,
109,OUT,"The study models bleaching susceptibility, recruitment, and growth but does not define, calculate, or use any variable explicitly as resilience or a stated proxy for resilience.",,,
227,IN,"The study explicitly defines resilience, quantifies it as the position of oxic–anoxic tipping points along an oxygen diffusivity gradient, and uses this computed resilience metric in its quantitative analyses.",,,
85,OUT,"Resilience is only discussed conceptually (e.g., recovery resilience) and no quantitative resilience metric, proxy, or index is defined or used in the analyses.",,,
230,IN,"The study explicitly quantifies ecosystem resilience (e.g., “increased resilience”) via computed network efficiency and eco-efficiency metrics used to assess and predict system stability and vulnerability under disturbance scenarios.",,,
98,IN,"The study explicitly defines and calculates numerical indices for resistance, resilience (1−δ), and an ecosystem stability index, and uses them quantitatively in the analysis.",,,
228,IN,The study explicitly defines and mathematically computes a quantitative Recovery Index (RI) as a resilience metric using the TOPSIS framework and uses it as the focal outcome of the analysis.,,,
254,OUT,"Resilience is discussed conceptually as an implication of burn severity patterns, but no quantitative resilience metric or explicit proxy is defined or calculated in the analyses.",,,
6,IN,"The study explicitly defines and mathematically quantifies resistance, recovery, and invariability as components of resilience and uses these calculated resilience metrics as response variables in quantitative analyses.",,,
1074,IN,The study explicitly defines and uses mean herbivore biomass as a quantitative proxy/measure of coral reef system resilience and computes it mathematically under different MPA strategies.,,,
80,IN,"The study explicitly defines and calculates quantitative drought resilience indices (resistance, recovery, resilience) following Lloret et al. (2011) and uses them in the analysis of tree responses to drought and pathogen infection.",,,
777,IN,"The study explicitly quantifies and interprets net aboveground biomass change as evidence of high carbon resilience to drought, providing clear equations and numerical results for this resilience proxy.",,,
218,IN,"The study explicitly defines drought impact and recovery rate as proxies for ecological resilience, provides mathematical formulas for them, and quantitatively analyzes these resilience metrics.",,,
581,IN,"The study explicitly defines and uses predicted time to recovery of sagebrush cover as an indicator and proxy for resilience, quantifying it with a mathematical method and using it as a mapped metric.",,,
373,OUT,"The study quantifies phenotypic plasticity and ecotypic differentiation but does not define, calculate, or use any variable explicitly as resilience or a proxy for resilience.",,,
237,OUT,"Resilience is only mentioned conceptually and is not quantified, proxied, or used as a predictor in the analyses.",,,
1110,OUT,"Resilience is discussed conceptually as long-term ecosystem response but no quantitative resilience metric, proxy, or calculation is defined or used in the analyses.",,,
54,OUT,"Resilience is only described qualitatively (e.g., ‘high resilience to disturbance’) and is not mathematically defined, quantified, or used as an explicit proxy variable in the analyses.",,,
751,OUT,"Resilience is only mentioned conceptually as a possible consequence of network changes and is never defined, quantified, or used as a proxy or predictor in the analyses.",,,
251,OUT,"Resilience is discussed conceptually and inferred from differences in seed dispersal and mutualist abundance, but no explicit resilience metric, index, or proxy variable is defined or quantitatively calculated.",,,
229,OUT,"Resilience is discussed conceptually and via recovery metrics (e.g., stem density, biomass), but no variable is explicitly defined, calculated, or used as a quantitative resilience metric or proxy within a resilience framework.",,,
260,IN,"The study explicitly defines, mathematically computes, and analyzes a quantitative farmland ecosystem resilience (FER) index used as the focal outcome and in further analyses (e.g., obstacle degree, TD/TR relations).",,,
1034,OUT,"Resilience is only mentioned conceptually (short-term resilience of fish) and no quantitative resilience metric, proxy, or calculation is defined or used in the analyses.",,,
768,OUT,The study quantifies community compositional change and richness as responses to disturbance but does not explicitly define or calculate any variable as resilience or a proxy for resilience in its analyses.,,,
989,OUT,"Resilience is only used as a categorical trait in some fish-based metrics and is not defined, calculated, or used explicitly as a resilience measure or proxy within a resilience framework.",,,
23,OUT,"Resilience is only mentioned conceptually and is not mathematically defined, quantified, or used as an explicit proxy or predictor in the analyses.",,,
178,IN,"The study explicitly defines, constructs, and calculates an ecological resilience index (with subcomponents and entropy-based formulae) and then uses it as the focal quantitative outcome and predictor in spatial and driver analyses.",,,
195,OUT,"Resilience is discussed conceptually but no variable is explicitly defined, calculated, or used quantitatively as resilience or a proxy for resilience.",,,
256,IN,"The study explicitly defines resilience as the ability to recover from disturbance and quantitatively computes multiple recovery metrics (damping time, T0, Thalf) used in the analyses as resilience measures.",,,
33,OUT,"Resilience is only mentioned in keywords and discussion of reef condition and fisheries, and no variable is defined, calculated, or used explicitly as resilience or a proxy for resilience in the analyses.",,,
493,IN,"The study explicitly defines, mathematically computes, and analyzes resistance and resilience indices (including for multifunctionality and community composition) as quantitative resilience metrics.",,,
267,IN,The study explicitly defines and mathematically quantifies resilience (as the slope of a log response ratio over time) alongside other stability components and uses these metrics in its quantitative analyses.,,,
139,IN,"The study explicitly defines resilience and quantifies multiple numerical proxies (e.g., functional dispersion, water use efficiency, tipping points, vegetation cover) to assess and compare ecosystem resilience under different scenarios.",,,
257,IN,The study explicitly defines and quantifies resilience via mathematically specified resistance (maximum cover loss relative to control) and recovery time metrics used in statistical analyses.,,,
87,IN,"The study explicitly defines and computes multiple quantitative network metrics (e.g., connectivity robustness, natural connectivity, global efficiency) to assess and compare ecological network resilience under different disturbance scenarios.",,,
90,,,gpt-5.1,No content extracted from PDF,
141,OUT,Resilience is only mentioned conceptually regarding forest resistance and resilience to climate change and is not quantified or used as a proxy variable in the analyses.,,,
63,OUT,"Resilience is only discussed conceptually as weakened or to be enhanced, without any explicit quantitative metric, proxy, or mathematical computation of resilience used in the analyses.",,,
89,OUT,The study quantifies connectivity and robustness of ecological networks but never defines or uses any measured variable explicitly as resilience or a proxy for resilience within a resilience framework.,,,
58,OUT,"Resilience is only mentioned conceptually as ecosystem resilience and is not explicitly defined, proxied, or quantified in the analyses.",,,
65,IN,"The study explicitly defines and mathematically detects ‘structural resilience’ via steady-state setpoints and RPA polynomials, then quantifies which network structures exhibit this resilience in its analyses.",,,
1097,IN,The study explicitly defines and quantifies community resilience as a stability metric using the dominant eigenvalue of the Jacobian matrix and analyzes how it varies with network properties.,,,
91,OUT,"Resilience is only mentioned conceptually as potentially eroded and increased by functional approaches, with no quantitative resilience metric, proxy, or model used in the analyses.",,,
143,,,gpt-5.1,No content extracted from PDF,
252,OUT,"Resilience is only discussed conceptually as plant performance under stress and is not mathematically defined, quantified, or used as an explicit proxy or predictor in the analyses.",,,
104,OUT,"The study treats recruitment as an indicator of resilience conceptually but never defines, calculates, or uses a quantitative resilience metric or explicit proxy in an analysis.",,,
43,IN,"The study explicitly quantifies resilience as the system’s ‘potential’, a mathematical representation of its capacity to return to equilibrium after perturbation, and uses this in the analysis.",,,
181,OUT,The study quantifies ecosystem stability via network metrics but does not describe or compute any variable explicitly as resilience or a proxy for resilience within a resilience framework.,,,
170,IN,The study explicitly defines and quantitatively computes resistance and resilience (as invasion success rates and changes in synchrony/variance ratio) within a resilience framework and uses them as focal outcomes.,,,
273,OUT,"Resilience is only mentioned conceptually as related to drought legacies and recovery, and no resilience metric, index, or explicit proxy is defined or quantified in the analyses.",,,
