paper_id,Criteria met
282,IN
852,IN
242,IN
36,IN
97,OUT
1,IN
207,OUT
264,IN
202,IN
167,IN
81,IN
17,IN
419,IN
35,IN
86,OUT
24,OUT
132,OUT
1125,IN
157,IN
212,IN
117,IN
95,OUT
114,OUT
48,OUT
1075,OUT
715,OUT
62,IN
171,OUT
101,OUT
126,IN
214,IN
238,OUT
124,OUT
1084,IN
1189,IN
163,OUT
191,IN
187,OUT
9,OUT
153,IN
226,IN
137,IN
1117,IN
42,IN
92,OUT
84,IN
112,IN
269,IN
109,OUT
227,IN
85,OUT
230,IN
98,IN
228,IN
254,OUT
6,IN
1074,IN
80,IN
777,OUT
218,IN
581,IN
373,OUT
237,OUT
1110,OUT
54,OUT
751,OUT
251,OUT
229,OUT
260,IN
1034,OUT
768,IN
989,OUT
23,OUT
178,IN
195,OUT
256,IN
33,OUT
493,IN
267,IN
139,OUT
257,IN
87,IN
90,IN
141,OUT
63,OUT
89,OUT
58,OUT
65,IN
1097,IN
91,OUT
143,OUT
252,OUT
104,OUT
43,OUT
181,OUT
170,IN
273,OUT
266,OUT
232,IN
160,IN
