paper_id,Criteria met
467,IN
809,OUT
399,IN
921,IN
1392,OUT
577,OUT
1974,OUT
1378,IN
759,OUT
1273,OUT
1279,IN
729,OUT
669,OUT
1431,IN
944,IN
1317,IN
757,OUT
1500,OUT
1690,OUT
659,OUT
1108,IN
1118,IN
1677,OUT
2008,IN
1510,OUT
428,IN
339,IN
394,IN
582,OUT
841,OUT
1796,OUT
1661,OUT
972,IN
1457,IN
1046,IN
1083,OUT
1169,OUT
1682,OUT
523,IN
1932,OUT
1609,IN
702,IN
476,IN
1660,OUT
575,IN
2046,OUT
2033,OUT
38,IN
1934,OUT
1342,IN
1421,IN
836,OUT
375,IN
1167,IN
1412,OUT
1348,OUT
1092,OUT
290,OUT
2126,OUT
1078,OUT
1283,OUT
1763,OUT
441,IN
305,IN
1208,OUT
1256,IN
745,OUT
1983,OUT
1559,IN
1898,OUT
1528,OUT
1735,OUT
1031,IN
1388,IN
686,OUT
458,OUT
663,OUT
2127,IN
814,IN
699,OUT
892,IN
1532,OUT
1727,IN
754,IN
1144,IN
1613,OUT
1228,IN
1755,OUT
522,IN
1447,IN
848,IN
1424,IN
537,OUT
1627,OUT
976,OUT
174,IN
25,IN
681,OUT
1113,IN
810,IN
1720,IN
1976,IN
234,IN
460,IN
1523,OUT
329,OUT
631,OUT
859,IN
420,OUT
1296,IN
1864,OUT
353,OUT
635,OUT
309,OUT
1371,IN
679,OUT
448,OUT
1065,IN
1702,IN
1905,OUT
1634,IN
1015,IN
742,OUT
981,IN
2003,OUT
1944,OUT
1058,OUT
2136,OUT
1800,IN
1055,OUT
1361,IN
1161,IN
807,OUT
592,IN
2019,OUT
739,IN
693,IN
345,IN
1262,IN
804,OUT
1145,IN
1054,OUT
1844,OUT
719,IN
1594,OUT
317,OUT
1534,OUT
1569,IN
295,OUT
870,OUT
1022,IN
1484,OUT
913,IN
1159,OUT
965,OUT
704,OUT
1617,IN
1410,IN
1250,IN
1541,OUT
1171,IN
1076,IN
1333,OUT
749,IN
1557,IN
1890,OUT
1357,IN
1039,IN
1341,OUT
805,OUT
1707,OUT
1481,IN
942,IN
877,IN
1486,IN
1487,IN
1575,OUT
1269,IN
1035,OUT
1687,IN
1576,OUT
461,IN
1768,OUT
1882,OUT
1784,OUT
616,OUT
1186,OUT
376,OUT
1550,IN
934,IN
569,OUT
1003,IN
738,IN
1850,OUT
1170,IN
1168,IN
1438,IN
861,OUT
611,OUT
620,OUT
520,OUT
1314,OUT
623,OUT
349,OUT
529,IN
401,OUT
429,IN
1526,OUT
932,IN
2100,OUT
793,IN
966,OUT
1024,OUT
1506,IN
1460,OUT
551,IN
1742,OUT
1103,OUT
1258,IN
450,OUT
634,IN
346,OUT
374,IN
1089,OUT
301,OUT
1180,IN
1134,OUT
1304,OUT
1726,OUT
474,OUT
1028,OUT
1745,OUT
912,OUT
769,OUT
1794,OUT
2143,OUT
910,IN
1451,OUT
746,IN
854,OUT
1463,OUT
335,IN
684,OUT
718,IN
1967,OUT
927,OUT
1675,IN
1299,OUT
985,IN
1330,IN
572,IN
280,IN
361,IN
1713,IN
1441,OUT
477,OUT
1339,IN
1267,IN
1872,OUT
996,IN
1639,IN
1050,OUT
959,IN
2144,OUT
1767,OUT
847,IN
1340,IN
1181,IN
1369,OUT
1109,OUT
1119,OUT
