paper_id,Measurement,Framework,Quantification,Target variable type,Level,Approach,Institution country,Field country,Location,Location range,Habitat type,Taxon,Disturbance type,Disturbance pattern,Observation duration,Justification
1378,Inferred,none,Inferred,Diversity,Community,Field observation,CA,CA,NA,NA,Forest,Plantae,NA,NA,NA,The study frames functional redundancy and response diversity as indicators of ecosystem resilience and tests whether pre-disturbance FR and RD predict post-logging productivity. Resilience is therefore evaluated through proxy indicators rather than being directly measured as system recovery. The methods state that FR and RD were measured pre-disturbance in sample plots and were not remeasured after clear cutting. Post-disturbance productivity was measured as seasonal variation in enhanced vegetation index from MODIS and analyzed in autoregressive regression models as the response variable. Because resilience itself is not quantified from a recovery trajectory but inferred from diversity indicators FR and RD the measurement type is inferred and quantification is inferred. The target variables used to infer resilience are FR and RD which are functional diversity indicators so the target variable type is diversity. These diversity metrics are calculated from multiple tree species within plots so the level is community. Data sources are temporary sampling plots and MODIS satellite imagery which are field observation. The first author affiliation is Laval University in Quebec Canada and the study area is forests of Quebec Canada. The paper provides a map but no coordinates so location and location range are NA. The focal organisms are trees so the taxon is Plantae. Disturbance type pattern and observation duration are NA because the measurement is inferred.
231,Observed,resilience = resistance + recovery,Recovery degree,Biomass,Community,Field experiment,CN,CN,"N41.643972, E110.231472",0,Grassland,Bacteria; Fungi; Protozoa,Manipulated_Climatic; Manipulated_Chemical,Press,1460,The study states that a field experiment was conducted to quantify soil microbial responses and resilience to precipitation changes with nitrogen addition. Five precipitation levels were applied in 2016 to 2018 and then reversed in 2019 to recover to the levels expected over 4 years. Resilience was defined as the ratio of the soil microbial traits after the reverse treatments to those of the control treatment. This uses observed soil microbial traits measured by PLFA biomass markers for bacteria fungi actinomycetes GP GN AMF and protozoa and ratios GP GN and F B. The discussion states resilience can incorporate both resistance and recovery. The first author affiliations are in Beijing China. The experimental site is Bailingmiao Damao County Inner Mongolia China with coordinates 41 38 38.300 N and 110 13 53.300 E. The ecosystem is described as a desert steppe and the vegetation mainly consists of native grasses. Disturbances are manipulated precipitation regime changes and manipulated nitrogen addition as ammonium nitrate. The precipitation and nitrogen treatments were maintained across years with reversal in the final year so the disturbance is treated as press. Soil samples for microbial traits were taken in late August 2018 and late August 2019 spanning the 4 year experiment from early May 2016 to late August 2019.
1108,Observed,stability = variance + resistance + resilience,Recovery rate,Ecosystem function,Ecosystem,Field observation,US,US,"N38.93, W120.10",0,Forest,Plantae,Unmanipulated_Climatic,Pulse,23725,The study used 64 years of stand productivity measures and measured annual growth increments of over 900 trees with productivity defined as annual basal area produced and community productivity as the sum within a stand. Resilience is explicitly defined as the speed at which a system returns to its original state after being disturbed and in forest systems as the rate of return to mean community productivity following a disturbance. Drought events were treated as external perturbations using climate records and drought years were identified including 1948 1960 to 1962 1988 to 1989 1992 1995. Drought resilience was quantified using relative productivity deviation comparing postdrought productivity to a 10 year predrought average and the drought minimum which operationalizes return rate rather than time. The target variable used in resilience calculations was community productivity which the paper states is their measure of ecosystem function. The work is based on field sampling of 40 stands in the Desolation Wilderness and three stands in the Babbitt Peak Research Natural Area with tree cores collected in 2002 and 2003 and chronologies from 1940 to 2004. The first author affiliation is University of California Davis in the United States and the field sites are in California United States. The habitat is upper montane conifer forest stands. The disturbance is unmanipulated climatic drought and it is analyzed as discrete drought events with postdrought recovery.
242,Observed,resilience = resistance + recovery,Recovery degree,Growth,Individual,Field observation,ES,ES,"N40.8444, W1.8853",0,Forest,Plantae,Unmanipulated_Climatic,Pulse,5475,The paper defines forest resilience as the ability to maintain state and functions after a perturbation and it quantifies components of resilience using Lloret et al. 2011 indices resistance recovery resilience and relative resilience. Resilience Rs is calculated as CSAI3-year post-drought divided by CSAI3-year pre-drought which is a comparison of post versus pre drought growth. The target variable used in these indices is cross-sectional area increment derived from tree ring series in stems and coarse roots. Drought events are identified from SPEI with 2005 and 2012 selected as drought events and the study compares before during and after these events. The disturbance is therefore climatic drought and it is not experimentally imposed. The drought events are treated as discrete events with three years before and three years after each event. The temporal series used for analysis is from 2000 to 2018. The study is based on field sampling of 48 trees with stem and root cores. The first author affiliation is in Madrid Spain. The study area is Alto Tajo Natural Park and the climate station location given is Molina de Aragón N40 50 40 W1 53 07. The study organism is Juniperus thurifera a tree species.
523,Observed,none,Recovery rate,Ecosystem function,Ecosystem,Field observation,AR,AR,"S36.833583, W60.466917",0,Wetland,NA,"['Unmanipulated_Climatic', 'Unmanipulated_Landuse and infrastructure development']",Press,91250,The study uses a sediment record time series from Blanca Chica Lake covering the last 250 years and analyzes temporal dynamics of multiple state variables. Resilience is quantified using early warning resilience indicators described as standard deviation and autocorrelation at lag-1 estimated on ordination scores. Autocorrelation at lag-1 is treated as a resilience indicator and is a recovery rate type metric under the provided definitions. The paper does not define a formula framework that decomposes resilience into components and instead discusses resilience indicators alongside multimodality and regime shifts. The resilience indicators are calculated from ordination scores derived from geochemical indicators and photosynthetic pigments and diatoms and cladocera and rotifera proxies which are used to infer ecosystem scale regime shifts. Pigments are described as indicating total primary productivity and primary producer composition and are ecosystem function type variables when used as productivity proxies. The analysis is based on field collected sediment core data and satellite images and gridded climate data rather than an indoor or manipulative experiment. The first author affiliation is Universidad Nacional de Mar del Plata CONICET in Argentina. The study site is explicitly Blanca Chica Lake in central Argentina with coordinates 36 degrees 50 minutes 00.9 seconds S and 60 degrees 28 minutes 00.9 seconds W. The lake is described as part of a large area of wetlands in the Pampa plain supporting the Wetland habitat classification. The discussion attributes the first transition to increased precipitation and the second to land use change and eutrophication which are treated as external drivers without experimental manipulation and therefore unmanipulated climatic and unmanipulated land use disturbances. The drivers are described as long term changes such as precipitation increase since 1870 and twentieth century land use change and nutrient input indicating a press type disturbance framing. The record spans about 250 years which corresponds to 91250 days between first and last measurements.
46,Observed,resistance + resilience,Recovery rate,Composition; Diversity,Community,Field observation; Modeling and simulation,GB,GB,"N52.8, W1.6",0,Wetland,Animalia,Unmanipulated_Climatic,Pulse,11680,The study used long term biomonitoring with 2500 aquatic invertebrate community samples from 179 sites in 1990–2022 and matched each sample to hydrological drought metrics including low flow anomaly and time since drought defined as days since the most recent hydrological drought. Recovery was analysed directly as change over time since drought because type ii recovery models assessed community change over time post drought and the discussion states post drought recovery rates. The introduction presents resistance and resilience together as resistance and or resilience and the aims state modulate invertebrate community resistance and resilience to drought. Resilience quantification is based on trajectories with time since drought and statements such as WHPT ASPT recovered faster and increases in richness were slower or higher which indicates recovery rate rather than recovery time. The variables used to represent community responses and recovery include taxa richness and deviation from the average community composition and WHPT ASPT and the question requires target variable types used to quantify resilience so composition and diversity apply. The biological organisation level is community because metrics summarize invertebrate community responses. The approach includes field observation because samples were collected in rivers and also modeling and simulation because drought and flow alteration variables came from coupled groundwater and surface water hydrological models with simulated discharge. The first author affiliation is Nottingham Trent University in the UK. The study area is rivers fed by England's chalk aquifers so the field country is the UK. No site coordinates are provided so the location is approximated from Nottingham in England and the range is set to 0 because distinct coordinates are not given. The habitat is freshwater rivers which fits wetland in the provided habitat options. The focal organisms are aquatic invertebrates so the taxon is Animalia. Drought is treated as hydrological drought defined from low flow anomalies and analysed as an unmanipulated climatic extreme event and the discussion describes drought as pulsed.
1342,Observed,resilience = resistance + recovery,Resistance,Cover; Abundance,Population,Field observation,ES,US,"N38.301, W123.667",0,Marine.Neritic,Chromista; Animalia,Unmanipulated_Climatic; Unmanipulated_Biotic,Pulse,2555,The introduction defines resilience as the combination of resistance and recovery and defines resistance as the ability to maintain its state by withstanding disturbance and recovery as the ability to rapidly go back to pre-disturbance conditions. The study states it investigates drivers of bull kelp forest resistance and later states it evaluated ecological resistance by measuring patterns of persistence cover and abundance. Bull kelp cover and persistence were calculated from a time series of PlanetScope satellite data from 2016 to 2022 and bull kelp abundance and cover were also measured in situ by SCUBA transects in 2020 to 2022. Because resilience related metrics are derived from observed bull kelp cover persistence and abundance the measurement type is observed. The quantification is resistance because the paper explicitly frames the analysis as ecological resistance and uses persistence cover and abundance as resistance traits rather than measuring return time or recovery rate after a defined disturbance. The target variables used to quantify resistance are bull kelp cover and bull kelp abundance and persistence is derived from canopy presence in the satellite cover time series. These variables describe a single species population level response rather than individual level or community level indices. The approach is field observation because it uses in situ field surveys and remote sensing observations and the lab experiment is used to test a mechanism rather than to quantify resistance itself. The first author primary affiliation is Institut de Ciències del Mar in Barcelona Spain so the institution country is ES. The field data are from northern California USA and specific coordinates are provided for Bodega Marine Laboratory and Doran Beach and the study sites are in northern California USA. A representative coordinate from the methods is the Bodega Marine Laboratory location 38.301 N 123.667 W and the study region is nearshore coastal kelp habitat which fits Marine Neritic. The taxa involved in the resistance quantification are bull kelp Nereocystis luetkeana and purple sea urchin Strongylocentrotus purpuratus. The disturbance context described for the decline includes a marine heatwave and loss of predators with urchin proliferation and these are treated as unmanipulated events in the observational analysis. The heatwave is described as occurring during 2014 to 2016 which is a discrete event so the disturbance pattern is pulse. The satellite observation window used for persistence spans 2016 to 2022 which is 7 years or 2555 days.
264,Inferred,resilience = robustness + redundancy,Inferred,Regional network parameter,Landscape,Modeling and simulation; Field observation,CN,CN,"N32.0, E119.0",15,Urban,NA,NA,NA,NA,The study proposes a framework to assess ecological network resilience and states that it evaluates resilience from the perspectives of robustness and redundancy and defines resilience as balancing robustness and redundancy with equations using robustness and redundancy indicators. Resilience is quantified from network structure indicators including agglomeration connectivity network density diversity transformation and complexity and then combined into robustness redundancy and resilience rather than from observed recovery trajectories of an ecosystem state variable. Although NDVI and other spatial datasets are used they are used to build indices and resistance surfaces and to construct the ecological network rather than to measure recovery dynamics after a real disturbance. The shock simulation removes nodes and edges and recalculates network resilience which is a modelled structural failure scenario rather than observed disturbance response. The approach therefore includes field observation via remote sensing and spatial datasets and modeling and simulation via circuit theory linkage mapper and shock simulation. The first author affiliation is Guangdong University of Technology in Guangzhou PR China. The study areas are three urban agglomerations in China namely Yangtze River Delta Beijing Tianjin Hebei and Pearl River Delta. No coordinates are provided so an average location in eastern China is reported to represent the three regions and the range reflects their broad separation. The focus is urban agglomerations and urban ecological networks so the dominant habitat type is urban. Because the level is landscape and resilience is for an ecological network rather than a specific organism taxon is not applicable. Because measurement is inferred disturbance type pattern and observation duration are not applicable.
140,Observed,resilience = recovery rate,Recovery rate,"['Cover', 'Composition', 'Growth']",Community,Field experiment,CN,US,NA,NA,Wetland,Plantae,Manipulated_Chemical; Manipulated_Structural,Pulse,4015,The introduction defines resilience as the rate of recovery from disturbance. The methods describe a manipulative field experiment in 12 tidal marshes where aboveground vegetation was removed by applying a systemic herbicide glyphosate and clipping new shoots through March 2010. Recovery was tracked using repeated measurements in October from 2010 to 2020 of vegetation cover vegetation height and plant community composition in disturbed plots compared with control plots. Recovery time was determined for each metric and relative recovery rate was calculated as 1 divided by recovery time in months with a modified calculation for the site that did not completely recover. Because resilience is quantified from observed recovery dynamics after an imposed disturbance the measurement type is observed and the quantification is recovery rate. The target variables used to quantify resilience are vegetation cover plant height and community composition which correspond to cover growth and composition. The variables are measured across plant communities within plots and include multiple species so the level is community. The study is a field experiment because disturbances were created in situ in coastal marshes. The first author affiliation includes Tianjin Normal University in China so the institution country is CN. The study sites are on the coast of Georgia USA so the field country is US and the habitat type is wetland. The dominant organisms measured are marsh plants so the taxon is Plantae. The disturbance includes chemical application of glyphosate and structural removal of vegetation by clipping so the disturbance types are manipulated chemical and manipulated structural. The disturbance is treated as a discrete imposed event followed by recovery monitoring so the pattern is pulse. The observation window for resilience spans from the first post disturbance measurements in October 2010 to the last measurements in October 2020 which is 11 years or 4015 days.
814,Observed,resilience + resistance,Recovery degree,Cover,Population,Field observation,US,US,"N29.225, W90.225",0,Wetland,Plantae,Unmanipulated_Climatic,Pulse,12045,The study quantified spatiotemporal patterns in mangrove range expansion and contraction using coastal wetland coverage data for 1978 1993 2000 and 2011 and related those changes to extreme freeze events. Resilience is explicitly defined as the capacity to recover after being affected by a freeze event and resistance as the capacity to withstand a freeze event and they are discussed together without a higher level variable. Recovery was evaluated as increases in mangrove area after the 1980s freeze events and as percentage change in mangrove forest area between 1993 to 2000 and 2000 to 2011 when temperatures were above the threshold zone. The target variable used for these resilience statements is mangrove coverage area and mangrove forest dominance derived from mangrove area within cells. The focal organism is black mangrove Avicennia germinans. The disturbance is extreme winter freeze events based on air temperatures and specific freeze dates and years and these are unmanipulated climatic events. The disturbance is treated as discrete events with specific dates and years. The wetland study polygon spans Golden Meadow about 29.35 N 90.25 W to Port Fourchon about 29.10 N 90.20 W in Louisiana USA and the average coordinate is reported. The first author affiliation is U S Geological Survey in Lafayette Louisiana USA. The observation window for coverage change spans from October 1978 to October 2011.
