paper_id,Measurement,Framework,Quantification,Target variable type,Level,Approach,Institution country,Field country,Location,Location range,Habitat type,Taxon,Disturbance type,Disturbance pattern,Observation duration,Justification
282,Inferred,ecological vulnerability = exposure + sensitivity + resilience,Inferred,Ecosystem function,Ecosystem,Modeling and simulation,CN,CN,"N36.0000, E105.0000",0,Multi,Plantae,NA,NA,NA,The study states it uses the exposure sensitivity resilience sliding ecological vulnerability evaluation framework to quantify the Ecological Vulnerability Index. Resilience is not quantified as recovery after a defined disturbance but as a Resilience Index defined as RI = 1 - γ where γ is the autoregressive coefficient in NPPt = α×Tempt + β×Pret + γ×NPPt-1 + εt. The target variable used in the core model is net primary productivity described as NPP anomalies and used to represent ecosystem status in the ecological vulnerability index. The approach is a developed multivariate linear autoregressive model using temperature precipitation and NPP time series with a 10 year sliding window. The first author affiliation is Beijing Normal University Beijing China. The study area is the Yellow River Basin China. The paper provides no explicit coordinates so the location is approximated to the basin scale and the habitat includes croplands grasslands forests and bare lands so the dominant habitat type cannot be reduced to a single IUCN class.
467,Observed,none,Recovery rate,Cover,Community,Field observation,AU,AU,"S20.5, E149.0",0,Marine.Neritic,Animalia,"['Unmanipulated_Climatic', 'Unmanipulated_Biotic', 'Unmanipulated_Hydrological']",Press,9131,The study evaluates coral reef resilience using two reef metrics including State as observed coral cover and Performance as deviation from expected change in cover provided no acute disturbances occurred. Performance is based on model predicted rates of coral cover increase and is interpreted as an index of reef functioning that evaluates observed State relative to expected State. The Performance score system is derived from observed cover change between surveys relative to the distribution of expected changes in cover. This makes resilience quantification focused on the rate of coral cover increase and its reduction which the paper describes as reef recovery and recovery rates. The target variable used in the resilience metric is coral cover including total coral cover and cover of four coral groups. Because cover is measured across multiple coral taxa and groups the level is community. Data come from AIMS monitoring on 122 reefs in the Central and Southern Great Barrier Reef between 1992 and 2017 which is field observation. The first author affiliation is in Australia at the Australian Institute of Marine Science and the University of Queensland. The field setting is the Great Barrier Reef in Australia with regions given as Central 16 to 21 S and South 21 to 25 S so the average coordinate is approximately S20.5 E149.0 and the range is within two degrees. The habitat is shallow coral reefs on the continental shelf which matches Marine Neritic. The focal organisms are corals described as scleractinian coral and coral groups which are animals. Acute disturbances considered include heat stress and bleaching risk events and cyclones which are climatic and crown of thorns seastar outbreaks which are biotic and river runoff and low salinity exposure which are hydrological. Disturbance metrics are treated with cumulative lagged effects over 1 3 or 5 year windows and Performance is modelled using years with no acute disturbance which reflects a press style framing of ongoing stressors over the observation window. The observation duration spans from 1992 to 2017 which is 25 years or 9131 days.
399,Observed,ecosystem stability = resistance + resilience,Recovery degree,['Composition'],Community,Field experiment,CA,CA,"N45.5333, W73.1333",0,Wetland,Bacteria,"['Manipulated_Chemical', 'Manipulated_Resource']","['Pulse', 'Press']",42,The study states it tested resistance and resilience by exposing freshwater mesocosms to pulse applications of glyphosate and imidacloprid and press nutrient enrichment and it tracked bacterioplankton density and carbon substrate use and taxonomic diversity and composition over a 43 day experiment. Resilience is evaluated from observed temporal community trajectories after pesticide pulses including the statement that 24 days after glyphosate application the precise amplicon sequence variants do not return and tend to be replaced by phylogenetically close taxa. The discussion explicitly frames stability as including resistance and resilience by stating two properties of ecological stability resistance and resilience are at play. The resilience quantification is based on whether community composition returns toward control after disturbance and the text describes recovery being apparent with weighted UniFrac on day 30 when control and high glyphosate communities approach each other. The target variable used for this resilience claim is bacterioplankton community composition measured by weighted UniFrac and PRCs at phylum to genus levels. The work is a mesocosm experiment conducted at LEAP at McGill University Gault Nature Reserve in Quebec Canada with coordinates 45 degrees 32 minutes N and 73 degrees 08 minutes W. The first author affiliation is Université de Montréal in Canada. The disturbances are manipulated chemical pesticide pulses and manipulated resource nutrient enrichment. The experiment ran from day 1 to day 43 and the first and last bacterioplankton sampling days shown are day 1 and day 43 giving 42 days between first and last measurement.
1279,Observed,resistance + recovery,Recovery degree,Ecosystem function,Ecosystem,Field experiment,CN,CN,"N45.678, E118.135",3.5,Grassland,Plantae,"['Manipulated_Climatic', 'Manipulated_Biotic']",Pulse,26,The study states that it experimentally compared the effects of heatwaves and mowing and that ecosystem CO2 fluxes were recorded. Resistance indices focused on changes in ecosystem carbon fluxes during the heatwave stage and recovery indices focused on recovery processes after heatwaves. Resistance was calculated from the heatwave simulation period and recovery was calculated for each day following the simulated heatwaves with recovery equal to 1 indicating no effect anymore. The heatwave treatment was a simulated heatwave of five consecutive days using open top chambers and heaters. After the heatwaves the OTCs were removed and recovery was calculated nearly 21 days after the heatwaves with an average value for the 21 day recovery. The target variables used to quantify resistance and recovery were NEP RE and GEP which are ecosystem carbon fluxes. The framework is presented as resistance and recovery as the two stability metrics that were quantified. The first author affiliation is Fujian Agriculture and Forestry University in China. The study sites are in Inner Mongolia China with coordinates 42 02 N 116 17 E and 49 20 23 N 119 59 37 E. The dominant species are Stipa krylovii and Leymus chinensis which are plants. The disturbance pattern is pulse because the heatwave is imposed for five consecutive days and then recovery is observed after it ends. Observation duration for resilience is 5 days of heatwave plus 21 days after heatwave.
944,Observed,resistance + resilience,Recovery degree,"['Cover', 'Composition', 'Diversity', 'Biomass', 'Abiotic parameter', 'Interaction']",Ecosystem,Field experiment,SE,SE,"N66.1917, E17.8583",0,Forest,Plantae,"['Manipulated_Structural', 'Manipulated_Fire']",Pulse,5110,The introduction defines resilience as the capacity to return to a reference state over time following a perturbation and discusses resistance in parallel as the degree to which they remain unchanged by disturbance. The methods imposed three disturbance treatments once in 1998 light trimming heavy trimming and burning with an undisturbed control. Recovery was measured using annual vascular plant measurements from 1999 to 2012 and additional moss and belowground measurements in 2012. Resilience was quantified using the post disturbance resilience index V where a value of 0 indicates the disturbed plot has fully recovered relative to the control plot measured at the same time. This index is based on the difference between disturbed and control values rather than a rate or time to recovery. Target variables used in the resilience index include total cover species richness Shannon diversity community composition via PCA scores and cover of dominant species plus moss biomass and multiple soil abiotic and microbial variables including PLFA based microbial community measures. The study system is 30 forested lake islands in lakes Hornavan and Uddjaure in northern Sweden with coordinates given as 65 8550N to 668090N and 178430E to 17 8550E. The first author affiliation is Swedish University of Agricultural Sciences in Umea Sweden. The disturbance pattern is a single event because disturbances were applied once in August 1998 and no other disturbances were implemented. The observation window for resilience spans from pre disturbance measurement in August 1998 to final measurements in August 2012 which is 14 years or 5110 days.
852,Observed,resistance + recovery + resilience,Recovery degree,Growth,Individual,Field observation,ES,ES,"N42.36, W0.08",0.0,Forest,Plantae,Unmanipulated_Climatic,Pulse,2555,The study quantified tree growth response to the extreme 1985–1986 drought using dendroecological reconstructions of radial growth transformed to basal area increment. It calculated resistance recovery and resilience growth indices following Lloret et al. 2011 with formulas Rt = Gd/Gprev Rc = Gpost/Gd and Rs = Gpost/Gprev. Resilience Rs was defined as the difference in growth between pre and post drought periods using mean BAI in 1983–1985 and 1987–1989 with 1986 as the drought year. This is an observed measurement because it uses the system state variable BAI derived from tree rings before during and after the drought event. The framework is presented as resistance recovery and resilience indices together. The resilience quantification is recovery degree because Rs compares post drought growth to pre drought growth as a degree of return. The target variable used to quantify resilience is basal area increment which is a growth metric. Analyses were performed at the tree level for 231 silver fir individuals. The approach is field observation because trees were sampled in 20 stands and increment cores were taken in the Central Spanish Pyrenees. The first author affiliation is Instituto Pirenaico de Ecologia IPE CSIC Zaragoza Spain. The study area coordinates are given as 42.220–42.500 N and 0.480 W–0.390 E and the average is reported. The disturbance is an unmanipulated climatic extreme drought event. The disturbance is treated as a pulse because the drought event is bounded to 1985–1986 and recovery is assessed in the subsequent years. The observation window for the drought response metrics spans from 1983 to 1989 which is 7 years.
1317,Observed,ecosystem health = stability,Invariability,Cover; Density,Ecosystem,Field observation,NZ,NZ,"S36.27666, E174.79809",0,Marine.Neritic,Plantae; Animalia,Unmanipulated_Biological resource use,Press,7300,The study used long term rocky reef monitoring data from 1999 to 2019 at four reserve sites and four fished sites and measured exposed sea urchin density turf complex percent cover and adult fucoid and Ecklonia radiata density in repeated surveys. It quantified temporal stability as the inverse of the coefficient of variation 1/CV for exposed sea urchin density turf complex cover adult fucoid density and E radiata density. It also assessed ecosystem stability using the number of shifts between ecosystem states and multivariate distance in state space but the explicit stability metric 1/CV is an inverse variance measure. The framework links ecosystem health and stability by stating stability is a key attribute of ecosystem health and the study focuses on ecosystem stability and resilience in that context. The approach was field observation because sampling was non destructive and done on SCUBA with repeated quadrat surveys. The first author affiliation is Institute of Marine Science The University of Auckland in New Zealand. The field sites are in the Cape Rodney to Okakari Point Leigh Marine Reserve area in northeastern New Zealand with coordinates provided for all eight sites and the average coordinate is reported. The habitat is shallow temperate rocky reef in the subtidal nearshore environment which fits Marine Neritic. The resilience related stability variables involve kelp and fucoid macroalgae and sea urchins so the taxa include Plantae and Animalia. The disturbance contrast is no take protection versus fished reefs which reflects ongoing fishing pressure so it is unmanipulated biological resource use treated as a press driver across the monitoring period.
1118,Observed,resilience + resistance,Recovery degree,"['Ecosystem function', 'Physiological indicator']",Ecosystem,Field experiment,US,US,"N31.78, W110.88",0,Grassland,Plantae,Manipulated_Climatic,Pulse,15,The study states that it quantified ecosystem functional resilience and resistance in response to experimentally simulated pulses of precipitation and it used a 39 mm irrigation pulse. It measured state variables before and 1 3 7 and 15 days following irrigation including net ecosystem exchange gross ecosystem exchange evapotranspiration ecosystem respiration soil respiration net photosynthesis and leaf stomatal conductance. It quantified resistance as Euclidean distances moved immediately following the pulse and it quantified return toward the pre pulse reference state by examining Euclidean distance from each treatment initial position to later positions and noting that by day 15 treatments had nearly returned to their initial positions. It predicted that proximity to the pre pulse reference state on day 15 would reveal treatment mediated differences in ecosystem functional resilience. The framework is presented as resilience and resistance as allied concepts with resistance defined as tendency to remain in a reference state and resilience described as characteristics that return a system to a reference state. The work was conducted at the Santa Rita Experimental Range rainfall manipulation experiment at 31.78 N 110.88 W in southern Arizona. The first author affiliation is University of Arizona in the United States. The plots were monotypic stands of native and non native warm season bunchgrasses so the taxon is plants. The habitat is described as a semi arid grassland.
2008,Observed,none,Recovery rate,Growth,Population,Field observation,SE,SE,"N62.4364, E15.5711",0,Forest,Plantae,Unmanipulated_Climatic,Pulse,2555,The study states it quantified the annual growth of Hylocomium splendens from 2016 to 2022 and compared growth during and after the 2018 extreme drought across clearcuts retention patches and mature forests. Annual maximum width of segments was used as the sole growth measure and analysed by year and habitat type which is direct observational state variable data. The paper explicitly examines growth response and recovery following the extreme drought of 2018 and reports that the growth reduction persisted in 2019 and 2020. This supports an observed resilience measurement based on post disturbance dynamics. Resilience is not defined as part of an explicit equation framework in the introduction methods or discussion. The quantification aligns with recovery rate because resilience is assessed via changes in annual growth in the years following the drought and via relationships using delta growth differences versus delta microclimate differences rather than time to return. The target variable used to quantify resilience is annual maximum width as annual growth of the moss. The organisation level is population because growth is measured across multiple shoots per plot and summarised as mean annual maximum widths per plot. The approach is field observation because moss samples and microclimate were collected in plots across forest sites in Sweden without experimental manipulation of drought. The first author affiliation is Swedish University of Agricultural Sciences in Uppsala Sweden. The field data were collected in Ånge Municipality central Sweden with coordinates spanning 62 degrees 24 minutes 23.9 seconds N to 62 degrees 27 minutes 54.7 seconds N and 15 degrees 28 minutes 55.7 seconds E to 15 degrees 39 minutes 36.3 seconds E. The habitat is boreal forest including mature forests clearcuts and retention patches. The disturbance is the 2018 summer drought described as an extreme drought event in Sweden and treated as a discrete event year. The observation window for growth spans 2016 to 2022 which is seven years corresponding to 2555 days.
428,Observed,resilience = resistance + recovery,Recovery time,['Diversity'],Community,Modeling and simulation,DE,DE,NA,NA,Grassland,Plantae,"['Model_Resource', 'Model_Structural']",Pulse,73000,The study used an individual based grassland community model and ran a full factorial simulation experiment crossing herbivore exclusion with nutrient enrichment. Nutrient enrichment was simulated as an increase in belowground resources for 100 simulation years and then resources returned to pre enrichment levels for 100 simulation years to analyze recovery. The paper states it investigated resistance and recovery sensu Hodgson et al. 2015 and defines resistance as the magnitude of change directly after a disturbance and recovery as the amount of time needed for a system to reach its original state measured as time to recovery TTR. Recovery was quantified as the number of years required for Shannon diversity to return to within two standard deviations of control diversity and stay there for 10 simulation years. Because resilience was operationalized via resistance and recovery and recovery was measured as time to return the quantification is recovery time. The target variable used for resilience metrics was Shannon diversity which is a community level diversity measure. The disturbance of interest is nutrient enrichment implemented in the model as increased belowground resources and herbivore exclusion implemented as complete elimination of aboveground and belowground herbivory submodels. The disturbance is treated as time bounded with a defined experimental window followed by a recovery window so the pattern is pulse. The first author affiliation is University of Potsdam and Potsdam Institute for Climate Impact Research in Germany. The model was parameterized with data from German grasslands collected through the Biodiversity Exploratories so the field country is Germany. The observation duration for disturbance and resilience spans 100 years treatment plus 100 years recovery which equals 200 years or 73000 days.
