"Pair","Var1","Var2","observed","expected","std_residual","significant","direction"
"Level vs Approach","Landscape","MD",23,12.6405451448041,3.50080331302248,TRUE,"EXCESS"
"Level vs Approach","Ecosystem","MD",50,50.8006814310051,-0.161277404790836,FALSE,"NS"
"Level vs Approach","Community","MD",38,48.8926746166951,-2.21291784607089,TRUE,"DEFICIT"
"Level vs Approach","Population","MD",28,19.557069846678,2.35873935753558,TRUE,"EXCESS"
"Level vs Approach","Individual","MD",1,8.10902896081772,-2.94745804380193,TRUE,"DEFICIT"
"Level vs Approach","Landscape","LM",0,1.53492333901193,-1.31817596836181,FALSE,"NS"
"Level vs Approach","Ecosystem","LM",6,6.16865417376491,-0.0863309964938588,FALSE,"NS"
"Level vs Approach","Community","LM",4,5.93696763202726,-1.00002075756512,FALSE,"NS"
"Level vs Approach","Population","LM",5,2.3747870528109,1.86383380992295,FALSE,"NS"
"Level vs Approach","Individual","LM",2,0.984667802385009,1.06979705415221,FALSE,"NS"
"Level vs Approach","Landscape","FM",1,12.4599659284497,-3.89196746655772,TRUE,"DEFICIT"
"Level vs Approach","Ecosystem","FM",45,50.0749574105622,-1.02730934166717,FALSE,"NS"
"Level vs Approach","Community","FM",64,48.1942078364566,3.22702324040101,TRUE,"EXCESS"
"Level vs Approach","Population","FM",17,19.2776831345826,-0.639492019255874,FALSE,"NS"
"Level vs Approach","Individual","FM",11,7.99318568994889,1.25284984177034,FALSE,"NS"
"Level vs Approach","Landscape","FO",29,26.3645655877342,0.75909890908779,FALSE,"NS"
"Level vs Approach","Ecosystem","FO",112,105.955706984668,1.03770671067028,FALSE,"NS"
"Level vs Approach","Community","FO",99,101.976149914821,-0.515348373749108,FALSE,"NS"
"Level vs Approach","Population","FO",32,40.7904599659284,-2.0932143495629,TRUE,"DEFICIT"
"Level vs Approach","Individual","FO",20,16.9131175468484,1.09086946670587,FALSE,"NS"
"Level vs Target_variable","Landscape","Environmental Context",37,6.15017064846416,13.8732532604678,TRUE,"EXCESS"
"Level vs Target_variable","Ecosystem","Environmental Context",30,24.7167235494881,1.41672711547325,FALSE,"NS"
"Level vs Target_variable","Community","Environmental Context",1,23.6723549488055,-6.13870770231159,TRUE,"DEFICIT"
"Level vs Target_variable","Population","Environmental Context",0,9.51535836177474,-3.53777364637497,TRUE,"DEFICIT"
"Level vs Target_variable","Individual","Environmental Context",0,3.94539249146758,-2.1767487520473,TRUE,"DEFICIT"
"Level vs Target_variable","Landscape","Functional Response",3,15.1945392491468,-3.88389516495213,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Functional Response",117,61.0648464163823,10.6229285284178,TRUE,"EXCESS"
"Level vs Target_variable","Community","Functional Response",8,58.4846416382253,-9.68090938130817,TRUE,"DEFICIT"
"Level vs Target_variable","Population","Functional Response",13,23.5085324232082,-2.76709147531219,TRUE,"DEFICIT"
"Level vs Target_variable","Individual","Functional Response",27,9.74744027303754,6.74137031703696,TRUE,"EXCESS"
"Level vs Target_variable","Landscape","Structure",3,9.58703071672355,-2.46468273027044,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Structure",7,38.5290102389079,-7.03459327682396,TRUE,"DEFICIT"
"Level vs Target_variable","Community","Structure",96,36.901023890785,13.3139237176477,TRUE,"EXCESS"
"Level vs Target_variable","Population","Structure",0,14.8327645051195,-4.58852159450955,TRUE,"DEFICIT"
"Level vs Target_variable","Individual","Structure",0,6.15017064846416,-2.82326108252436,TRUE,"DEFICIT"
"Level vs Target_variable","Landscape","Process Based Indicator",5,4.43174061433447,0.295669358706445,FALSE,"NS"
"Level vs Target_variable","Ecosystem","Process Based Indicator",7,17.8105802047782,-3.35402292519279,TRUE,"DEFICIT"
"Level vs Target_variable","Community","Process Based Indicator",22,17.0580204778157,1.54815848552793,FALSE,"NS"
"Level vs Target_variable","Population","Process Based Indicator",13,6.85665529010239,2.64267606637275,TRUE,"EXCESS"
"Level vs Target_variable","Individual","Process Based Indicator",2,2.84300341296928,-0.538123027248234,FALSE,"NS"
"Level vs Target_variable","Landscape","Quantity",5,17.6365187713311,-3.86248358878609,TRUE,"DEFICIT"
"Level vs Target_variable","Ecosystem","Quantity",52,70.8788395904437,-3.44089815498499,TRUE,"DEFICIT"
"Level vs Target_variable","Community","Quantity",77,67.8839590443686,1.67764567722904,FALSE,"NS"
"Level vs Target_variable","Population","Quantity",56,27.2866894197952,7.25607584840974,TRUE,"EXCESS"
"Level vs Target_variable","Individual","Quantity",5,11.3139931740614,-2.36775002740804,TRUE,"DEFICIT"
"Approach vs Target_variable","MD","Environmental Context",24,16.1296928327645,2.38647895384455,TRUE,"EXCESS"
"Approach vs Target_variable","LM","Environmental Context",1,1.97269624573379,-0.747521578039124,FALSE,"NS"
"Approach vs Target_variable","FM","Environmental Context",4,16.0136518771331,-3.65193955516717,TRUE,"DEFICIT"
"Approach vs Target_variable","FO","Environmental Context",39,33.8839590443686,1.31976318464311,FALSE,"NS"
"Approach vs Target_variable","MD","Functional Response",21,39.8498293515358,-4.04808761354603,TRUE,"DEFICIT"
"Approach vs Target_variable","LM","Functional Response",7,4.87372013651877,1.15729339554931,FALSE,"NS"
"Approach vs Target_variable","FM","Functional Response",39,39.5631399317406,-0.12123874047952,FALSE,"NS"
"Approach vs Target_variable","FO","Functional Response",101,83.7133105802048,3.15827818604076,TRUE,"EXCESS"
"Approach vs Target_variable","MD","Structure",9,25.1433447098976,-4.07291391923184,TRUE,"DEFICIT"
"Approach vs Target_variable","LM","Structure",1,3.07508532423208,-1.32686958070985,FALSE,"NS"
"Approach vs Target_variable","FM","Structure",30,24.962457337884,1.2741279995605,FALSE,"NS"
"Approach vs Target_variable","FO","Structure",66,52.8191126279863,2.82912691803049,TRUE,"EXCESS"
"Approach vs Target_variable","MD","Process Based Indicator",17,11.622866894198,1.8864741852006,FALSE,"NS"
"Approach vs Target_variable","LM","Process Based Indicator",1,1.42150170648464,-0.37478308739417,FALSE,"NS"
"Approach vs Target_variable","FM","Process Based Indicator",4,11.5392491467577,-2.65161694984405,TRUE,"DEFICIT"
"Approach vs Target_variable","FO","Process Based Indicator",27,24.4163822525597,0.771124336158057,FALSE,"NS"
"Approach vs Target_variable","MD","Quantity",68,46.2542662116041,4.48181210270126,TRUE,"EXCESS"
"Approach vs Target_variable","LM","Quantity",7,5.65699658703072,0.701515485278123,FALSE,"NS"
"Approach vs Target_variable","FM","Quantity",61,45.9215017064846,3.11544637730333,TRUE,"EXCESS"
"Approach vs Target_variable","FO","Quantity",59,97.1672354948805,-6.69216057763111,TRUE,"DEFICIT"
