"Test","var1","var2","count","std_residual","direction"
"Manipulation_vs_Type","Model","Fire",7,-1.37606563378484,"NS"
"Manipulation_vs_Type","Manip.","Fire",11,-1.84517601980293,"NS"
"Manipulation_vs_Type","Unmanip.","Fire",41,2.74632484003163,"EXCESS"
"Manipulation_vs_Type","Model","Climatic",36,-1.69927310243,"NS"
"Manipulation_vs_Type","Manip.","Climatic",46,-4.20020535366731,"DEFICIT"
"Manipulation_vs_Type","Unmanip.","Climatic",156,5.13771626944152,"EXCESS"
"Manipulation_vs_Type","Model","Geophysical",0,-1.26676226431505,"NS"
"Manipulation_vs_Type","Manip.","Geophysical",0,-1.70104633963908,"NS"
"Manipulation_vs_Type","Unmanip.","Geophysical",7,2.53039307050843,"EXCESS"
"Manipulation_vs_Type","Model","Hydrological",4,-0.894613090896459,"NS"
"Manipulation_vs_Type","Manip.","Hydrological",8,-0.513512796711033,"NS"
"Manipulation_vs_Type","Unmanip.","Hydrological",20,1.1619575311461,"NS"
"Manipulation_vs_Type","Model","Chemical",5,-1.32219406953652,"NS"
"Manipulation_vs_Type","Manip.","Chemical",31,6.12210560910409,"EXCESS"
"Manipulation_vs_Type","Unmanip.","Chemical",9,-4.53602498365663,"DEFICIT"
"Manipulation_vs_Type","Model","Resource",9,2.76072811134926,"EXCESS"
"Manipulation_vs_Type","Manip.","Resource",12,2.68743362283205,"EXCESS"
"Manipulation_vs_Type","Unmanip.","Resource",1,-4.58790206589896,"DEFICIT"
"Manipulation_vs_Type","Model","Biotic",10,-1.42694655349861,"NS"
"Manipulation_vs_Type","Manip.","Biotic",26,0.818005916122557,"NS"
"Manipulation_vs_Type","Unmanip.","Biotic",43,0.36563115480693,"NS"
"Manipulation_vs_Type","Model","LID",7,0.416196060897116,"NS"
"Manipulation_vs_Type","Manip.","LID",0,-3.77470128211326,"DEFICIT"
"Manipulation_vs_Type","Unmanip.","LID",26,3.10689556579068,"EXCESS"
"Manipulation_vs_Type","Model","BRU",13,3.3153754631273,"EXCESS"
"Manipulation_vs_Type","Manip.","BRU",8,-0.513512796711033,"NS"
"Manipulation_vs_Type","Unmanip.","BRU",11,-2.11002531391186,"DEFICIT"
"Manipulation_vs_Type","Model","Structural",23,3.29249413406718,"EXCESS"
"Manipulation_vs_Type","Manip.","Structural",37,4.6690807638719,"EXCESS"
"Manipulation_vs_Type","Unmanip.","Structural",10,-6.80206310681019,"DEFICIT"
"Manipulation_vs_Pattern","Model","Press",39,2.98892245649696,"EXCESS"
"Manipulation_vs_Pattern","Manip.","Press",36,-2.61966271788654,"DEFICIT"
"Manipulation_vs_Pattern","Unmanip.","Press",81,0.156040634147978,"NS"
"Manipulation_vs_Pattern","Model","Pulse",48,-2.98892245649696,"DEFICIT"
"Manipulation_vs_Pattern","Manip.","Pulse",119,2.61966271788654,"EXCESS"
"Manipulation_vs_Pattern","Unmanip.","Pulse",175,-0.156040634147978,"NS"
"Type_vs_Pattern","Fire","Press",8,-3.41769632235115,"DEFICIT"
"Type_vs_Pattern","Climatic","Press",83,0.579030460561851,"NS"
"Type_vs_Pattern","Geophysical","Press",1,-1.06215258726718,"NS"
"Type_vs_Pattern","Hydrological","Press",8,-1.10712508906144,"NS"
"Type_vs_Pattern","Chemical","Press",16,0.257182057250995,"NS"
"Type_vs_Pattern","Resource","Press",14,2.88816614044657,"EXCESS"
"Type_vs_Pattern","Biotic","Press",33,1.85498280506715,"NS"
"Type_vs_Pattern","LID","Press",16,1.93472245442379,"NS"
"Type_vs_Pattern","BRU","Press",17,2.4764243188144,"EXCESS"
"Type_vs_Pattern","Structural","Press",10,-3.54498744780367,"DEFICIT"
"Type_vs_Pattern","Fire","Pulse",52,3.41769632235115,"EXCESS"
"Type_vs_Pattern","Climatic","Pulse",158,-0.579030460561849,"NS"
"Type_vs_Pattern","Geophysical","Pulse",6,1.06215258726718,"NS"
"Type_vs_Pattern","Hydrological","Pulse",25,1.10712508906144,"NS"
"Type_vs_Pattern","Chemical","Pulse",30,-0.257182057250995,"NS"
"Type_vs_Pattern","Resource","Pulse",9,-2.88816614044657,"DEFICIT"
"Type_vs_Pattern","Biotic","Pulse",45,-1.85498280506715,"NS"
"Type_vs_Pattern","LID","Pulse",17,-1.93472245442379,"NS"
"Type_vs_Pattern","BRU","Pulse",15,-2.4764243188144,"DEFICIT"
"Type_vs_Pattern","Structural","Pulse",60,3.54498744780367,"EXCESS"
