"Test_Type","Factor","term","statistic","df","estimate","conf.low","conf.high","p.value"
"ANOVA","Manipulation_vs_logDuration","disturbance_manipulation",87.6077130796169,2,NA,NA,NA,"<0.0001"
"ANOVA","Manipulation_vs_logDuration","Residuals",NA,481,NA,NA,NA,NA
"ANOVA","Type_vs_logDuration","disturbance_type",10.5397987726963,9,NA,NA,NA,"<0.0001"
"ANOVA","Type_vs_logDuration","Residuals",NA,591,NA,NA,NA,NA
"ANOVA","Pattern_vs_logDuration","disturbance_pattern",10.6646279923655,1,NA,NA,NA,"0.0012"
"ANOVA","Pattern_vs_logDuration","Residuals",NA,466,NA,NA,NA,NA
"Tukey_HSD","disturbance_manipulation","Manip.-Model",NA,NA,-3.22605720998022,-3.96483798426532,-2.48727643569513,"<0.0001"
"Tukey_HSD","disturbance_manipulation","Unmanip.-Manip.",NA,NA,2.94402778524082,2.37899617859045,3.5090593918912,"<0.0001"
"Tukey_HSD","disturbance_type","Chemical-Fire",NA,NA,-2.66110253040218,-4.32239241986541,-0.999812640938958,"<0.0001"
"Tukey_HSD","disturbance_type","Resource-Fire",NA,NA,-3.36560681478728,-5.4680431865438,-1.26317044303077,"<0.0001"
"Tukey_HSD","disturbance_type","Structural-Fire",NA,NA,-1.91282019722521,-3.37862090714856,-0.447019487301861,"0.0016"
"Tukey_HSD","disturbance_type","Chemical-Climatic",NA,NA,-1.94727562424244,-3.31790831639759,-0.576642932087297,"<0.001"
"Tukey_HSD","disturbance_type","Resource-Climatic",NA,NA,-2.65177990862754,-4.53299987908725,-0.770559938167838,"<0.001"
"Tukey_HSD","disturbance_type","LID-Climatic",NA,NA,1.94197931786647,0.385239830965154,3.49871880476778,"0.0033"
"Tukey_HSD","disturbance_type","Structural-Climatic",NA,NA,-1.19899329106547,-2.32474708350124,-0.0732394986296985,"0.0263"
"Tukey_HSD","disturbance_type","Chemical-Geophysical",NA,NA,-4.7153368384789,-8.07994670420419,-1.3507269727536,"<0.001"
"Tukey_HSD","disturbance_type","Resource-Geophysical",NA,NA,-5.41984112286399,-9.0227502459183,-1.81693199980969,"<0.0001"
"Tukey_HSD","disturbance_type","Structural-Geophysical",NA,NA,-3.96705450530192,-7.23955922996086,-0.694549780642987,"0.0051"
"Tukey_HSD","disturbance_type","LID-Hydrological",NA,NA,2.54459431680705,0.464191666773189,4.62499696684091,"0.0045"
"Tukey_HSD","disturbance_type","LID-Chemical",NA,NA,3.88925494210891,1.96193251789874,5.81657736631908,"<0.0001"
"Tukey_HSD","disturbance_type","BRU-Chemical",NA,NA,2.85214956940027,0.924827145190096,4.77947199361044,"<0.001"
"Tukey_HSD","disturbance_type","Biotic-Resource",NA,NA,2.24273298943045,0.204619811101986,4.28084616775891,"0.0182"
"Tukey_HSD","disturbance_type","LID-Resource",NA,NA,4.59375922649401,2.27537049133432,6.91214796165369,"<0.0001"
"Tukey_HSD","disturbance_type","BRU-Resource",NA,NA,3.55665385378537,1.23826511862568,5.87504258894505,"<0.0001"
"Tukey_HSD","disturbance_type","LID-Biotic",NA,NA,2.35102623706356,0.60793857991677,4.09411389421035,"<0.001"
"Tukey_HSD","disturbance_type","Structural-LID",NA,NA,-3.14097260893193,-4.9025796454876,-1.37936557237627,"<0.0001"
"Tukey_HSD","disturbance_type","Structural-BRU",NA,NA,-2.10386723622329,-3.86547427277896,-0.34226019966763,"0.0063"
"Tukey_HSD","disturbance_pattern","Pulse-Press",NA,NA,-0.885514442510958,-1.41835873061731,-0.352670154404611,"0.0012"
