"Category","Metric","Count","Percentage","Total_in_Category","Predictor"
"press","recovery rate",52,36.1111111111111,144,"disturbance_pattern"
"press","others",26,18.0555555555556,144,"disturbance_pattern"
"press","latitude",24,16.6666666666667,144,"disturbance_pattern"
"press","recovery degree",23,15.9722222222222,144,"disturbance_pattern"
"press","recovery time",13,9.02777777777778,144,"disturbance_pattern"
"press","multidimensional quantification",6,4.16666666666667,144,"disturbance_pattern"
"pulse","recovery degree",109,32.5373134328358,335,"disturbance_pattern"
"pulse","recovery rate",83,24.7761194029851,335,"disturbance_pattern"
"pulse","recovery time",56,16.7164179104478,335,"disturbance_pattern"
"pulse","multidimensional quantification",38,11.3432835820896,335,"disturbance_pattern"
"pulse","others",34,10.1492537313433,335,"disturbance_pattern"
"pulse","latitude",15,4.47761194029851,335,"disturbance_pattern"
"functional response","recovery rate",54,33.5403726708075,161,"target_variable_group"
"functional response","recovery degree",47,29.1925465838509,161,"target_variable_group"
"functional response","recovery time",20,12.4223602484472,161,"target_variable_group"
"functional response","multidimensional quantification",19,11.8012422360248,161,"target_variable_group"
"functional response","others",13,8.07453416149068,161,"target_variable_group"
"functional response","latitude",8,4.96894409937888,161,"target_variable_group"
"process based indicator","others",19,47.5,40,"target_variable_group"
"process based indicator","recovery time",6,15,40,"target_variable_group"
"process based indicator","multidimensional quantification",5,12.5,40,"target_variable_group"
"process based indicator","recovery rate",4,10,40,"target_variable_group"
"process based indicator","latitude",3,7.5,40,"target_variable_group"
"process based indicator","recovery degree",3,7.5,40,"target_variable_group"
"quantity","recovery rate",43,27.5641025641026,156,"target_variable_group"
"quantity","recovery degree",39,25,156,"target_variable_group"
"quantity","recovery time",26,16.6666666666667,156,"target_variable_group"
"quantity","latitude",21,13.4615384615385,156,"target_variable_group"
"quantity","others",16,10.2564102564103,156,"target_variable_group"
"quantity","multidimensional quantification",11,7.05128205128205,156,"target_variable_group"
"structure","recovery degree",43,35.2459016393443,122,"target_variable_group"
"structure","recovery rate",34,27.8688524590164,122,"target_variable_group"
"structure","recovery time",17,13.9344262295082,122,"target_variable_group"
"structure","others",12,9.83606557377049,122,"target_variable_group"
"structure","multidimensional quantification",9,7.37704918032787,122,"target_variable_group"
"structure","latitude",7,5.73770491803279,122,"target_variable_group"
"field experiment","recovery degree",55,39.568345323741,139,"approach"
"field experiment","recovery rate",42,30.2158273381295,139,"approach"
"field experiment","recovery time",14,10.0719424460432,139,"approach"
"field experiment","multidimensional quantification",13,9.35251798561151,139,"approach"
"field experiment","others",11,7.9136690647482,139,"approach"
"field experiment","latitude",4,2.87769784172662,139,"approach"
"field observation","recovery rate",54,29.3478260869565,184,"approach"
"field observation","recovery degree",52,28.2608695652174,184,"approach"
"field observation","others",27,14.6739130434783,184,"approach"
"field observation","recovery time",26,14.1304347826087,184,"approach"
"field observation","multidimensional quantification",19,10.3260869565217,184,"approach"
"field observation","latitude",6,3.26086956521739,184,"approach"
"model/indoor","recovery rate",39,25,156,"approach"
"model/indoor","latitude",29,18.5897435897436,156,"approach"
"model/indoor","recovery time",29,18.5897435897436,156,"approach"
"model/indoor","recovery degree",25,16.025641025641,156,"approach"
"model/indoor","others",22,14.1025641025641,156,"approach"
"model/indoor","multidimensional quantification",12,7.69230769230769,156,"approach"
"community","recovery degree",53,29.7752808988764,178,"level"
"community","recovery rate",49,27.5280898876405,178,"level"
"community","recovery time",26,14.6067415730337,178,"level"
"community","others",22,12.3595505617978,178,"level"
"community","multidimensional quantification",17,9.55056179775281,178,"level"
"community","latitude",11,6.17977528089888,178,"level"
"ecosystem/landscape","recovery rate",63,33.1578947368421,190,"level"
"ecosystem/landscape","recovery degree",46,24.2105263157895,190,"level"
"ecosystem/landscape","latitude",24,12.6315789473684,190,"level"
"ecosystem/landscape","others",24,12.6315789473684,190,"level"
"ecosystem/landscape","recovery time",23,12.1052631578947,190,"level"
"ecosystem/landscape","multidimensional quantification",10,5.26315789473684,190,"level"
"individual","recovery degree",14,42.4242424242424,33,"level"
"individual","multidimensional quantification",8,24.2424242424242,33,"level"
"individual","recovery time",5,15.1515151515152,33,"level"
"individual","recovery rate",4,12.1212121212121,33,"level"
"individual","others",2,6.06060606060606,33,"level"
"individual","latitude",0,0,33,"level"
"population","recovery degree",19,24.3589743589744,78,"level"
"population","recovery rate",19,24.3589743589744,78,"level"
"population","recovery time",15,19.2307692307692,78,"level"
"population","others",12,15.3846153846154,78,"level"
"population","multidimensional quantification",9,11.5384615384615,78,"level"
"population","latitude",4,5.12820512820513,78,"level"
"biotic pressure","recovery degree",25,28.4090909090909,88,"disturbance_type"
"biotic pressure","recovery rate",16,18.1818181818182,88,"disturbance_type"
"biotic pressure","recovery time",16,18.1818181818182,88,"disturbance_type"
"biotic pressure","others",15,17.0454545454545,88,"disturbance_type"
"biotic pressure","latitude",12,13.6363636363636,88,"disturbance_type"
"biotic pressure","multidimensional quantification",4,4.54545454545455,88,"disturbance_type"
"chemical/resource","recovery rate",17,34,50,"disturbance_type"
"chemical/resource","recovery degree",10,20,50,"disturbance_type"
"chemical/resource","recovery time",8,16,50,"disturbance_type"
"chemical/resource","multidimensional quantification",6,12,50,"disturbance_type"
"chemical/resource","others",5,10,50,"disturbance_type"
"chemical/resource","latitude",4,8,50,"disturbance_type"
"climatic","recovery degree",58,33.5260115606936,173,"disturbance_type"
"climatic","recovery rate",52,30.0578034682081,173,"disturbance_type"
"climatic","others",20,11.5606936416185,173,"disturbance_type"
"climatic","multidimensional quantification",19,10.9826589595376,173,"disturbance_type"
"climatic","latitude",12,6.9364161849711,173,"disturbance_type"
"climatic","recovery time",12,6.9364161849711,173,"disturbance_type"
"fire","recovery degree",19,34.5454545454545,55,"disturbance_type"
