"predictor","median_drop","mean_drop","p05","p95","pos_frac","top3_freq"
"target_variable_group",0.0578776948219873,0.0569726929545013,0.0194653566282888,0.0899229676439406,0.986666666666667,0.88
"approach",0.0353651631775767,0.0339273211884867,-0.000342953569495868,0.0693852599129502,0.94,0.646666666666667
"disturbance_pattern",0.0290058020263268,0.0295428592809475,-0.00362367117409338,0.0647241082060038,0.926666666666667,0.48
"journal",0.0277492839997517,0.0271013642070775,-0.0163019556004322,0.0634125226818684,0.833333333333333,0.46
"disturbance_type",0.0153165185545999,0.0164464996996987,-0.0171232411884908,0.0560773521529823,0.733333333333333,0.2
"level",0.0143831472998674,0.0146667829948575,-0.0149539637311431,0.043846450409669,0.786666666666667,0.12
"observation_duration",0.0122024826142706,0.0142374292835729,-0.00926014942653003,0.0446963968323618,0.793333333333333,0.133333333333333
"institution_country",0.00791287106523231,0.00786898419854611,-0.0191332975430785,0.0323243866839883,0.68,0.02
"habitat_type",0.00307919981552927,0.00378877316451926,-0.0320729489595186,0.0388607896719769,0.606666666666667,0.0333333333333333
"taxon",0.00230326163226747,0.00196905233201337,-0.026448267050364,0.0315973895305311,0.546666666666667,0.0266666666666667
